venue,team1,team2,stage,toss winner,toss decision,first innings score,first innings wickets,second innings score,second innings wickets,winner,won by,player of the match,top scorer,highest score,best bowler,best bowling figure
SCG,New Zealand,Australia,Super 12,Australia,Field,200,3,111,10,New Zealand,Runs,Devon Conway,Devon Conway,92,Tim Southee,3-6
Optus Stadium,Afghanistan,England,Super 12,England,Field,112,10,113,5,England,Wickets,Sam Curran,Ibrahim Zadran,32,Sam Curran,5-10
Blundstone Arena,Ireland,Sri lanka,Super 12,Ireland,Bat,128,8,133,1,Sri lanka,Wickets,Kusal Mendis,Kusal Mendis,68,Maheesh Theekshana,2-19
MCG,Pakistan,India,Super 12,India,Field,159,8,160,6,India,Wickets,Virat Kohli,Virat Kohli,82,Hardik Pandya,3-30
Blundstone Arena,Bangladesh,Netherlands,Super 12,Netherlands,Field,144,8,135,10,Bangladesh,Runs,Taskin Ahmed,Colin Ackermann,62,Taskin Ahmed,4-25
Blundstone Arena,Zimbabwe,South Africa,Super 12,Zimbabwe,Bat,79,5,51,0,,,,Quinton de Kock,47,Lungi Ngidi,2-20
Optus Stadium,Sri lanka,Australia,Super 12,Australia,Field,157,6,158,3,Australia,Wickets,Marcus Stoinis,Marcus Stoinis,59,Glenn Maxwell,1-5
MCG,Ireland,England,Super 12,England,Field,157,10,105,5,Ireland,Runs,Andrew Balbirnie,Andrew Balbirnie,62,Liam Livingstone,3-17
MCG,New Zealand,Afghanistan,Super 12,,,,,,,,,,,,,
SCG,South Africa,Bangladesh,Super 12,South Africa,Bat,205,5,101,10,South Africa,Runs,Rilee Rossouw,Rilee Rossouw,109,Anrich Nortje,4-10
SCG,India,Netherlands,Super 12,India,Bat,179,2,123,9,India,Runs,Suryakumar Yadav,Virat Kohli,62,Bhuvneshwar Kumar,2-19
Optus Stadium,Zimbabwe,Pakistan,Super 12,Zimbabwe,Bat,130,8,129,8,Zimbabwe,Runs,Sikandar Raza,Shan Masood,44,Mohammad Wasim,4-24
MCG,Afghanistan,Ireland,Super 12,,,,,,,,,,,,,
MCG,Australia,England,Super 12,,,,,,,,,,,,,
SCG,New Zealand,Sri lanka,Super 12,New Zealand,Bat,167,7,102,10,New Zealand,Runs,Glenn Phillips,Glenn Phillips,104,Trent Boult,4-13
The Gabba,Bangladesh,Zimbabwe,Super 12,Bangladesh,Bat,150,7,147,8,Bangladesh,Runs,Taskin Ahmed,Najmul Hossain,71,Taskin Ahmed,3-19
Optus Stadium,Netherlands,Pakistan,Super 12,Netherlands,Bat,91,9,95,4,Pakistan,Wickets,Shadab Khan,Mohammad Rizwan,49,Shadab Khan,3-22
Optus Stadium,India,South Africa,Super 12,India,Bat,133,9,137,5,South Africa,Wickets,Lungi Ngidi,Suryakumar Yadav,68,Lungi Ngidi,4-29
The Gabba,Australia,Ireland,Super 12,Ireland,Field,179,5,137,10,Australia,Runs,Aaron Finch,Lorcan Tucker,71,Barry McCarthy,3-29
The Gabba,Afghanistan,Sri lanka,Super 12,Afghanistan,Bat,144,8,148,4,Sri lanka,Wickets,Wanindu Hasaranga,de Silva,66,Wanindu Hasaranga,3-13
The Gabba,England,New Zealand,Super 12,England,Bat,179,6,159,6,England,Runs,Jos Buttler,Jos Buttler,73,Sam Curran,2-26
Adelaide Oval,Zimbabwe,Netherlands,Super 12,Zimbabwe,Bat,117,10,120,5,Netherlands,Wickets,Max O'Dowd,Max O'Dowd,52,Paul van Meekeren,3-29
Adelaide Oval,India,Bangladesh,Super 12,Bangladesh,Field,184,6,145,6,India,Runs,Virat Kohli,Virat Kohli,64,Hasan Mahmud,3-47
SCG,Pakistan,South Africa,Super 12,Pakistan,Bat,185,9,108,9,Pakistan,Runs,Shadab Khan,Shadab Khan,52,Anrich Nortje,4-41
Adelaide Oval,New Zealand,Ireland,Super 12,Ireland,Field,185,6,150,9,New Zealand,Runs,Kane Williamson,Kane Williamson,61,Lockie Ferguson,3-22
Adelaide Oval,Australia,Afghanistan,Super 12,Afghanistan,Field,168,8,164,7,Australia,Runs,Glenn Maxwell,Glenn Maxwell,54,Naveen-ul-Haq,3-21
SCG,Sri lanka,England,Super 12,Sri lanka,Bat,141,8,144,6,England,Wickets,Adil Rashid,Pathum Nissanka,67,Mark Wood,3-26
Adelaide Oval,Netherlands,South Africa,Super 12,South Africa,Field,158,4,145,8,Netherlands,Runs,Colin Ackermann,Colin Ackermann,41,Brandon Glover,3-9
Adelaide Oval,Bangladesh,Pakistan,Super 12,Bangladesh,Bat,127,8,128,5,Pakistan,Wickets,Shaheen Afridi,Najmul Hossain,54,Shaheen Afridi,4-22
MCG,India,Zimbabwe,Super 12,India,Bat,186,5,115,10,India,Runs,Suryakumar Yadav,Suryakumar Yadav,61,Ravichandran Ashwin,3-22
SCG,New Zealand,Pakistan,Semi-final,New Zealand,Bat,152,4,153,3,Pakistan,Wickets,Mohammad Rizwan,Mohammad Rizwan,57,Shaheen Afridi,2-24
Adelaide Oval,India,England,Semi-final,England,Field,168,6,170,0,England,Wickets,Alex Hales,Alex Hales,86,Chris Jordan,3-43
MCG,Pakistan,England,Final,England,Field,137,8,138,5,England,Wickets,Sam Curran,Ben Stokes,52,Sam Curran,3-12