,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
0,Cornstarch,100,381,0.1,,0,0,0,0,0,0,0,0,0,91.27,0.9,0,0.05
1,"Nuts, pecans",100,691,72,6.2,0,56,3,0,0.21,1.1,1.4,1.4,3.5,13.86,9.6,3.97,71.97
2,"Eggplant, raw",100,25,0.2,,0,23,1,0,0.084,2.2,0.3,0.3,3.5,5.88,3,3.53,0.18
3,"Teff, uncooked",100,367,2.4,0.4,0,9,0,0,0.482,0,0.08,0.08,1.9,73.13,8,1.84,2.38
4,"Sherbet, orange",100,144,2,1.2,1,46,12,0.13,0.023,2.3,0.01,0.01,0,30.4,1.3,24.32,2
5,"Cauliflower, raw",100,25,0.3,0.1,0,0,0,0,0.184,48.2,0.08,0.08,15.5,4.97,2,1.91,0.28
6,"Taro leaves, raw",100,42,0.7,0.2,0,4825,241,0,0.146,52,2.02,2.02,108.6,6.7,3.7,3.01,0.74
7,"Lamb, raw, ground",100,282,23,10,73,0,0,2.31,0.13,0,0.2,0.2,3.6,0,0,0,23.41
8,"Cheese, camembert",100,300,24,15,72,820,241,1.3,0.227,0,0.21,0.21,2,0.46,0,0.46,24.26
9,Vegetarian fillets,100,290,18,2.8,0,0,0,4.2,1.5,0,3.45,3.45,0,9,6.1,0.8,18
10,"PACE, Picante Sauce",100,25,0,,0,313,0,0,0,0,0,0,0,6.25,3.1,6.25,0
11,"Goji berries, dried",100,349,0.4,,0,26822,0,0,0,48.4,0,0,0,77.06,13,45.61,0.39
12,"Mango nectar, canned",100,51,0.1,,0,692,35,0,0.015,15.2,0.21,0.21,0.8,13.12,0.3,12.45,0.06
13,"Crackers, rusk toast",100,407,7.2,1.4,78,41,12,0.18,0.047,0,0,0,0,72.3,0,0,7.2
14,"Chicken, boiled, feet",100,215,15,3.9,84,100,30,0.47,0.01,0,0.27,0.27,0.2,0.2,0,0,14.6
15,"Quail, raw, meat only",100,134,4.5,1.3,70,57,17,0.47,0.53,7.2,0,0,0,0,0,0,4.53
16,"Pie, lemon, fried pies",100,316,16,2.5,0,32,2,0.08,0.03,0,0,0,0,42.6,2.6,0,16.1
17,"Peppers, raw, jalapeno",100,29,0.4,0.1,0,1078,54,0,0.419,118.6,3.58,3.58,18.5,6.5,2.8,4.12,0.37
18,"Winged bean tuber, raw",100,148,0.9,0.2,0,0,0,0,0.075,0,0,0,0,28.1,0,0,0.9
19,"Salami, turkey, cooked",100,172,9.2,2.8,76,6,2,0.99,0.427,0,0.24,0.24,1.3,1.55,0.1,1.12,9.21
20,"Grapes, raw, muscadine",100,57,0.5,,0,67,3,0,0,6.5,0,0,0,13.93,3.9,0,0.47
21,"Nuts, raw, ginkgo nuts",100,182,1.7,0.3,0,558,28,0,0.328,15,0,0,0,37.6,0,0,1.68
22,"Spices, ground, savory",100,272,5.9,3.3,0,5130,257,0,1.81,50,0,0,0,68.73,45.7,0,5.91
23,"Candies, sesame crunch",100,516,33,4.7,0,6,0,0,0.491,0,0.16,0.16,0,50.3,7.7,31.17,33.3
24,"Cheese, low fat, cream",100,201,15,9.1,54,552,161,0.92,0.045,0,0.27,0.27,1.1,8.13,0,5.82,15.28
25,"PACE, Green Taco Sauce",100,25,0,,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0
26,"Syrup, Canadian, maple",100,270,0,,0,0,0,0,0,0,0,0,0,67.38,0,59.92,0
27,"Ostrich, raw, top loin",100,119,3,1.2,75,0,0,4.94,0.509,0,0.2,0.2,0,0,0,0,2.95
28,"Chewing gum, sugarless",100,268,0.4,0.1,0,0,0,0,0,0,0,0,0,94.8,2.4,0,0.4
29,"Nuts, dried, pine nuts",100,673,68,4.9,0,29,1,0,0.094,0.8,9.33,9.33,53.9,13.08,3.7,3.59,68.37
30,"Pasta, unenriched, dry",100,371,1.5,0.3,0,0,0,0,0.142,0,0.11,0.11,0.1,74.67,3.2,2.67,1.51
31,"McDONALD'S, Side Salad",100,20,0.2,,0,2850,0,0,0,15.7,0,0,0,4.3,1.6,2.24,0.19
32,"Cookies, Marie biscuit",100,406,11,5.3,0,3,1,0.19,0.074,0,0.45,0.45,3.8,70.54,3.5,21.16,10.58
33,"Broccoli, raw, chinese",100,30,0.8,0.1,0,1720,86,0,0.074,29.6,0.5,0.5,89.1,4.67,2.6,0.88,0.76
34,"McDONALD'S, Hash Brown",100,271,16,2.3,0,2,0,0,0.18,5.6,2.14,2.14,0,28.56,2.8,0.54,16.3
35,"Agave, raw (Southwest)",100,68,0.2,,0,37,2,0,0.055,4,0.23,0.23,5.3,16.23,6.6,2.58,0.15
36,"Emu, raw, outside drum",100,103,0.5,0.1,78,0,0,6.92,0.676,0,0.17,0.17,0,0,0,0,0.48
37,"Nuts, dried, beechnuts",100,576,50,5.7,0,0,0,0,0.684,15.5,0,0,0,33.5,0,0,50
38,"Currants, dried, zante",100,283,0.3,,0,73,4,0,0.296,4.7,0.11,0.11,3.3,74.08,6.8,67.28,0.27
39,"Lentils, raw, sprouted",100,106,0.6,0.1,0,45,2,0,0.19,16.5,0,0,0,22.14,0,0,0.55
40,"Gravy, mix, dry, onion",100,322,3,1.9,2,0,0,0.7,0.1,7,0,0,0,67.64,6,0,3
41,"Pie, fruit, fried pies",100,316,16,2.5,0,27,5,0.08,0.03,1.3,1.72,1.72,4.1,42.6,2.6,21.4,16.1
42,"Snacks, cakes, popcorn",100,384,3.1,0.5,0,72,4,0,0.181,0,0.29,0.29,1.1,80.1,2.9,0.72,3.1
43,"Snack, Mixed Berry Bar",100,383,11,3.8,0,97,27,0.51,0.116,0.6,0.29,0.29,1.6,58.84,7.9,26.32,10.53
44,"Fish, raw, sheepshead",100,108,2.4,0.6,50,100,30,2,0.3,0,0,0,0,0,0,0,2.41
45,"Babyfood, pear, juice",100,47,0,,0,0,0,0,0.01,33.8,0.09,0.09,3.4,11.86,0.1,7.28,0
46,"Brussels sprouts, raw",100,43,0.3,0.1,0,754,38,0,0.219,85,0.88,0.88,177,8.95,3.8,2.2,0.3
47,"Broccoli raab, cooked",100,33,0.5,0.1,0,4533,227,0,0.22,37,2.53,2.53,256,3.12,2.8,0.62,0.52
48,"Butter oil, anhydrous",100,876,99,62,256,3069,840,0.01,0.001,0,2.8,2.8,8.6,0,0,0,99.48
49,"Chicory, raw, witloof",100,17,0.1,,0,29,1,0,0.042,2.8,0,0,0,4,3.1,0,0.1
50,"KEEBLER, Waffle Cones",100,424,5.3,0.9,0,0,0,0,0.03,0,0.05,0.05,0,87.7,1.8,31.6,5.3
51,"KEEBLER, Waffle Bowls",100,424,5.3,0.9,0,0,0,0,0.03,0,0.05,0.05,0,87.7,1.8,31.6,5.3
52,"Broccoli, raw, leaves",100,28,0.4,0.1,0,16000,0,0,0.159,93.2,0,0,0,5.06,2.3,1.48,0.35
53,"Durian, raw or frozen",100,147,5.3,,0,44,2,0,0.316,19.7,0,0,0,27.09,3.8,0,5.33
54,"Tomatoes, raw, orange",100,16,0.2,,0,1496,75,0,0.06,16,0,0,0,3.18,0.9,0,0.19
55,"Tomatoes, raw, yellow",100,15,0.3,,0,0,0,0,0.056,9,0,0,0,2.98,0.7,0,0.26
56,"Egg custards, dry mix",100,410,6.4,2,258,217,63,1.17,0.216,0.4,0,0,0,82.8,0,0,6.4
57,"Peanut flour, low fat",100,428,22,3,0,0,0,0,0.304,0,0,0,0,31.27,15.8,0,21.9
58,"Fish, smoked, haddock",100,116,1,0.2,77,80,24,1.6,0.4,0,0.55,0.55,0.1,0,0,0,0.96
59,"DENNY'S, french fries",100,282,14,2.5,0,0,0,0,0.22,1.6,0.98,0.98,28.8,35.2,3.5,0.85,14.13
60,"Ground turkey, cooked",100,203,10,2.7,93,79,24,1.34,0.633,0,0.11,0.11,0,0,0,0,10.4
61,"MURRAY, Vanilla Wafer",100,461,17,5.7,1,0,0,0,0,0,0,0,0,72.9,1.4,31.5,17.4
62,"WENDY'S, french fries",100,301,14,2.8,0,0,0,0,0.387,3.8,2,2,6.4,39.73,4,0.4,14.1
63,"Bread, toasted, wheat",100,313,4.3,1,0,0,0,0,0.153,0.2,0.24,0.24,5.7,55.77,4.7,6.42,4.27
64,"Danish pastry, cheese",100,374,22,6.8,23,128,35,0.2,0.04,0.1,0.35,0.35,6.9,37.2,1,6.95,21.9
65,"Nuts, glazed, walnuts",100,500,36,3.6,0,0,0,0,0,0,0,0,0,47.59,3.6,32.14,35.71
66,"Spices, garlic powder",100,331,0.7,0.2,0,0,0,0,1.654,1.2,0.67,0.67,0.4,72.73,9,2.43,0.73
67,"Oil, soybean lecithin",100,763,100,15,0,0,0,0,0,0,8.18,8.18,183.9,0,0,0,100
68,"Egg, fresh, raw, yolk",100,322,27,9.6,1085,1442,381,1.95,0.35,0,2.58,2.58,0.7,3.59,0,0.56,26.54
69,"Fireweed, raw, leaves",100,103,2.8,,0,3598,180,0,0.632,2.2,0,0,0,19.22,10.6,0,2.75
70,"Beef, pastrami, cured",100,147,5.8,2.7,68,42,2,1.87,0.221,0.3,0.12,0.12,0.7,0.36,0,0.1,5.82
71,"Frankfurter, meatless",100,233,14,1.7,0,0,0,2.35,0.078,0,1.92,1.92,0,7.7,3.9,0,13.73
72,"Emu, raw, flat fillet",100,102,0.7,0.2,71,0,0,6.12,0.582,0,0.22,0.22,0,0,0,0,0.74
73,"Emu, raw, inside drum",100,108,1.5,0.4,67,17,5,2.26,0.626,0,0.22,0.22,0,0,0,0,1.49
74,"Ice creams, chocolate",100,216,11,6.8,34,416,118,0.29,0.055,0.7,0.3,0.3,0.3,28.2,1.2,25.36,11
75,"Snacks, potato sticks",100,522,34,8.9,0,0,0,0,0.32,47.3,9.11,9.11,22.1,53.3,3.4,0.22,34.4
76,"USDA Commodity, salsa",100,36,0.2,,0,550,28,0,0.149,4,0,0,0,7,1.4,0,0.2
77,"Figs, uncooked, dried",100,249,0.9,0.1,0,10,0,0,0.106,1.2,0.35,0.35,15.6,63.87,9.8,47.92,0.93
78,"Game meat, raw, horse",100,133,4.6,1.4,52,0,0,3,0.38,1,0,0,0,0,0,0,4.6
79,"Syrup, fruit flavored",100,261,0,,0,0,0,0,0,0,0,0,0,65.1,0,65,0.02
80,"Broccoli, raw, stalks",100,28,0.4,0.1,0,400,20,0,0.159,93.2,0,0,0,5.24,0,0,0.35
81,"Cream, cultured, sour",100,198,19,10,59,447,124,0.21,0.041,0.9,0.38,0.38,1.5,4.63,0,3.41,19.35
82,"Gravy, canned, au jus",100,16,0.2,0.1,0,0,0,0.1,0.01,1,0,0,0,2.5,0,0,0.2
83,"McDONALD'S, Hamburger",100,264,10,3.5,27,55,0,0.83,0,0.6,0,0,0,30.28,1.3,6.03,10.09
84,"Cheese, port de salut",100,352,28,17,123,1092,315,1.5,0.053,0,0.24,0.24,2.4,0.57,0,0.57,28.2
85,SILK Original Creamer,100,100,6.7,,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67
86,SILK Hazelnut Creamer,100,133,6.7,,0,0,0,0,0,200,0,0,0,20,0,20,6.67
87,"Soup, mix, dry, onion",100,293,0.3,0.1,0,15,1,0,0.582,3.4,0.13,0.13,1.4,65.07,6.6,4.65,0.34
88,"Mushrooms, raw, enoki",100,37,0.3,,0,0,0,0,0.1,0,0.01,0.01,0,7.81,2.7,0.22,0.29
89,Bacon and beef sticks,100,517,44,16,102,0,0,1.9,0.5,0,0,0,1.6,0.8,0,0.8,44.2
90,"Salami, pork, Italian",100,425,37,13,80,0,0,2.8,0.55,0,0,0,0,1.2,0,1.2,37
91,"Crackers, whole-wheat",100,427,14,2.1,0,0,0,0,0.185,0,1.41,1.41,27.2,69.55,10.3,1.19,14.13
92,"Peanuts, raw, spanish",100,570,50,7.1,0,0,0,0,0.348,0,0,0,0,15.83,9.5,0,49.6
93,"Hominy, white, canned",100,72,0.9,0.1,0,1,0,0,0.005,0,0.05,0.05,0.2,14.26,2.5,1.82,0.88
94,"Game meat, raw, moose",100,102,0.7,0.2,59,0,0,0,0,4,0,0,0,0,0,0,0.74
95,"Pears, red anjou, raw",100,62,0.1,,0,24,1,0,0.039,5.2,0.12,0.12,4.9,14.94,3,9.54,0.14
96,"Horseradish, prepared",100,48,0.7,0.1,0,2,0,0,0.073,24.9,0.01,0.01,1.3,11.29,3.3,7.99,0.69
97,"Fish, raw, butterfish",100,146,8,3.4,65,100,30,1.9,0.3,0,0,0,0,0,0,0,8.02
98,"Lebanon bologna, beef",100,172,10,2.8,55,39,12,2.9,0.391,0.9,0.57,0.57,0.3,0.44,0,0,10.44
99,Ham and cheese spread,100,245,19,8.6,61,304,91,0.73,0.13,0,0,0,0,2.28,0,0,18.53
100,"TACO BELL, Taco Salad",100,170,9.2,3,19,62,3,0.4,0.103,0,0.54,0.54,10.7,15.1,3,0,9.17
101,"Sauce, worcestershire",100,78,0,,0,79,5,0,0,13,0.08,0.08,1,19.46,0,10.03,0
102,"Candies, marshmallows",100,318,0.2,0.1,0,0,0,0,0.003,0,0,0,0,81.3,0.1,57.56,0.2
103,"Hummus, home prepared",100,177,8.6,1.1,0,5,0,0,0.399,7.9,0.75,0.75,3,20.12,4,0.27,8.59
104,Horned melon (Kiwano),100,44,1.3,,0,147,7,0,0.063,5.3,0,0,0,7.56,0,0,1.26
105,Ice cream sundae cone,100,254,14,2.7,15,410,117,0.35,0.05,0,0.11,0.11,0.5,28.89,1,21.26,14
106,"Peppers, raw, serrano",100,32,0.4,0.1,0,937,47,0,0.505,44.9,0.69,0.69,11.8,6.7,3.7,3.83,0.44
107,"Cabbage, cooked, napa",100,12,0.2,,0,263,13,0,0.037,3.2,0,0,0,2.23,0,0,0.17
108,"Peppers, dried, ancho",100,281,8.2,0.8,0,20438,1022,0,3.535,2,0,0,0,51.42,21.6,0,8.2
109,"Parsley, freeze-dried",100,271,5.2,,0,63240,0,0,1.375,149,0,0,0,42.38,32.7,0,5.2
110,"Spices, black, pepper",100,251,3.3,1.4,0,547,27,0,0.291,0,1.04,1.04,163.7,63.95,25.3,0.64,3.26
111,"Spices, white, pepper",100,296,2.1,0.6,0,0,0,0,0.1,21,0,0,0,68.61,26.2,0,2.12
112,"Yambean (jicama), raw",100,38,0.1,,0,21,1,0,0.042,20.2,0.46,0.46,0.3,8.82,4.9,1.8,0.09
113,"Nuts, dried, pilinuts",100,719,80,31,0,41,2,0,0.115,0.6,0,0,0,3.98,0,0,79.55
114,"Kiwifruit, raw, green",100,61,0.5,,0,87,4,0,0.063,92.7,1.46,1.46,40.3,14.66,3,8.99,0.52
115,"Drumstick leaves, raw",100,64,1.4,,0,7564,378,0,1.2,51.7,0,0,0,8.28,2,0,1.4
116,"Yautia (tannier), raw",100,98,0.4,0.1,0,8,0,0,0.237,5.2,0,0,0,23.63,1.5,0,0.4
117,"Candies, butterscotch",100,391,3.3,2.1,9,100,28,0,0,0,0.09,0.09,0.3,90.4,0,80.46,3.3
118,"Cucumber, raw, peeled",100,12,0.2,,0,72,4,0,0.051,3.2,0.03,0.03,7.2,2.16,0.7,1.38,0.16
119,"Dandelion greens, raw",100,45,0.7,0.2,0,10161,508,0,0.251,35,3.44,3.44,778.4,9.2,3.5,0.71,0.7
120,"Melons, raw, honeydew",100,36,0.1,,0,50,3,0,0.088,18,0.02,0.02,2.9,9.09,0.8,8.12,0.14
121,Potato salad with egg,100,157,9.4,1.4,17,163,19,0.07,0.115,0.8,0.68,0.68,14.3,16.18,1.3,4.95,9.4
122,"Mushrooms, raw, white",100,22,0.3,0.1,0,0,0,0.04,0.104,2.1,0.01,0.01,0,3.26,1,1.98,0.34
123,"Mushrooms, raw, morel",100,31,0.6,0.1,0,0,0,0,0.136,0,0,0,0,5.1,2.8,0.6,0.57
124,"Cheese, Mexican blend",100,358,29,17,95,659,174,1.23,0.061,0,0.25,0.25,2.5,1.75,0,1.23,28.51
125,"Oranges, Florida, raw",100,46,0.2,,0,225,11,0,0.051,45,0.18,0.18,0,11.54,2.4,9.14,0.21
126,"SILK Vanilla, soymilk",100,41,1.4,0.2,0,206,0,1.23,0,0,0,0,0,4.12,0.4,2.88,1.44
127,"Papaya nectar, canned",100,57,0.2,,0,361,18,0,0.009,3,0.24,0.24,0.8,14.51,0.6,13.91,0.15
128,"Fiddlehead ferns, raw",100,34,0.4,,0,3617,181,0,0,26.6,0,0,0,5.54,0,0,0.4
129,SILK Peach soy yogurt,100,94,1.2,,0,0,0,0,0,17.6,0,0,0,18.82,0.6,14.71,1.18
130,SILK Plain soy yogurt,100,66,1.8,0.2,0,0,0,0,0,13.2,0,0,0,9.69,0.4,5.29,1.76
131,"PACE, Enchilada Sauce",100,40,0,,0,667,0,0,0,2,0,0,0,8.33,1.7,6.67,0
132,Yeast extract spread,100,185,0.9,,0,0,0,0.5,0,0,0,0,0,20.42,6.5,1.6,0.9
133,"Tomatoes, raw, green",100,23,0.2,,0,642,32,0,0.081,23.4,0.38,0.38,10.1,5.1,1.1,4,0.2
134,"Mollusks, raw, snail",100,90,1.4,0.4,50,100,30,0.5,0.13,0,5,5,0.1,2,0,0,1.4
135,"Emu, raw, fan fillet",100,103,0.8,0.2,71,0,0,6.67,0.634,0,0.22,0.22,0,0,0,0,0.8
136,"Pasta, enriched, dry",100,371,1.5,0.3,0,0,0,0,0.142,0,0.11,0.11,0.1,74.67,3.2,2.67,1.51
137,"Cookies, gingersnaps",100,416,9.8,2.5,0,2,0,0,0.098,0,0.97,0.97,2.5,76.9,2.2,19.92,9.8
138,"Sour cream, fat free",100,74,0,,9,255,73,0.3,0.02,0,0,0,0,15.6,0,0.39,0
139,"MURRAY, Honey Graham",100,445,13,3.2,0,0,0,0,0,0,0,0,0,75.7,2.7,22,13.2
140,"Frankfurter, chicken",100,223,16,3.9,96,0,0,0.54,0.323,0,0.22,0.22,0,2.74,0,2.98,16.19
141,"Ham, canned, chopped",100,239,19,6.3,49,0,0,0.7,0.32,2,0.25,0.25,0,0.26,0,0,18.83
142,"Spices, dried, thyme",100,276,7.4,2.7,0,3800,190,0,0.55,50,7.48,7.48,1714.5,63.94,37,1.71,7.43
143,"Carrot juice, canned",100,40,0.2,,0,19124,956,0,0.217,8.5,1.16,1.16,15.5,9.28,0.8,3.91,0.15
144,"Corn, dried (Navajo)",100,386,5.2,0.8,0,0,0,0,0.372,0,0,0,0.9,74.93,0,5.38,5.22
145,"Pate, truffle flavor",100,327,29,10,105,15000,4505,3.2,0.06,2,0,0,0,6.3,0,0,28.5
146,"Fruit butters, apple",100,173,0.3,0.1,0,22,1,0,0.037,0.6,0.05,0.05,0.9,42.47,1.5,35.3,0.3
147,"Fast foods, coleslaw",100,153,9.9,1.6,4,95,28,0.01,0.112,14.6,0.54,0.54,70.9,14.89,1.9,12.19,9.91
148,"Salami, beef, cooked",100,261,22,9.9,71,0,0,3.06,0.18,0,0.19,0.19,1.3,1.9,0,1.5,22.2
149,"Spices, chili powder",100,282,14,2.5,0,29650,1483,0,2.094,0.7,38.14,38.14,105.7,49.7,34.8,7.19,14.28
150,"Spices, caraway seed",100,333,15,0.6,0,363,18,0,0.36,21,2.5,2.5,0,49.9,38,0.64,14.59
151,"Spices, dried, basil",100,233,4.1,2.2,0,744,37,0,1.34,0.8,10.7,10.7,1714.5,47.75,37.7,1.71,4.07
152,"Pickle relish, sweet",100,130,0.5,0.1,0,1218,61,0,0.015,1,0.58,0.58,83.8,35.06,1.1,29.13,0.47
153,"Chives, freeze-dried",100,311,3.5,0.6,0,68300,3415,0,1.996,660,0,0,0,64.29,26.2,0,3.5
154,"Fish, raw, sablefish",100,195,15,3.2,49,310,93,1.5,0.3,0,0,0,0,0,0,0,15.3
155,"Crackers, multigrain",100,482,20,3.3,0,5,0,0,0.117,0,1.75,1.75,36,67.6,3.5,12,20.4
156,"Spices, ground, mace",100,475,32,9.5,0,800,40,0,0.16,21,0,0,0,50.5,20.2,0,32.38
157,"Spices, onion powder",100,341,1,0.2,0,0,0,0,0.718,23.4,0.27,0.27,4.1,79.12,15.2,6.63,1.04
158,"Butter, without salt",100,717,81,50,215,2499,684,0.17,0.003,0,2.32,2.32,7,0.06,0,0.06,81.11
159,"Rice noodles, cooked",100,108,0.2,,0,0,0,0,0.006,0,0.03,0.03,0,24.01,1,0.03,0.2
160,Barley flour or meal,100,345,1.6,0.3,0,0,0,0,0.396,0,0.57,0.57,2.2,74.52,10.1,0.8,1.6
161,"Sesbania flower, raw",100,27,0,,0,0,0,0,0,73,0,0,0,6.73,0,0,0.04
162,"Garlic bread, frozen",100,350,17,5.3,0,44,13,0.08,0.083,0.2,1.18,1.18,29.5,41.72,2.5,3.69,16.61
163,"KFC, Popcorn Chicken",100,351,22,4,40,0,0,0.14,0.502,0,1.32,1.32,17.4,21.18,1,0,21.74
164,"APPLEBEE'S, coleslaw",100,120,7.1,1.1,2,1504,77,0,0.129,13.7,0.5,0.5,65.1,13.17,2.8,9.33,7.09
165,"Rolls, sweet, dinner",100,321,7.4,3.5,55,135,40,0.21,0.11,0.2,0.38,0.38,0.6,53.58,3.1,15.38,7.37
166,"Cherries, raw, sweet",100,63,0.2,,0,64,3,0,0.049,7,0.07,0.07,2.1,16.01,2.1,12.82,0.2
167,"Ostrich, raw, ground",100,165,8.7,2.2,71,0,0,4.61,0.475,0,0.24,0.24,0,0,0,0,8.7
168,"SILK Coffee, soymilk",100,62,1.4,0.2,0,123,0,0.37,0,0,0,0,0,10.29,0,9.47,1.44
169,"Snacks, banana chips",100,519,34,29,0,83,4,0,0.26,6.3,0.24,0.24,1.3,58.4,7.7,35.34,33.6
170,"Peaches, raw, yellow",100,39,0.3,,0,326,16,0,0.025,6.6,0.73,0.73,2.6,9.54,1.5,8.39,0.25
171,"Rolls, wheat, dinner",100,273,6.3,1.5,0,0,0,0,0.076,0,0.36,0.36,2.7,46,3.8,1.63,6.3
172,"Candies, HEATH BITES",100,530,30,16,19,232,0,0,0,0.8,0,0,0,63.39,2,60.02,30.38
173,"Chicken, raw, ground",100,143,8.1,2.3,86,0,0,0.56,0.512,0,0.27,0.27,0.8,0.04,0,0,8.1
174,"Pears, bartlett, raw",100,63,0.2,,0,28,1,0,0.026,4.4,0.12,0.12,3.8,15.01,3.1,9.69,0.16
175,"Toppings, strawberry",100,254,0.1,,0,18,1,0,0.012,13.7,0.1,0.1,0.7,66.3,0.7,27.38,0.1
176,"KEEBLER, Sugar Cones",100,375,3.7,0.8,0,0,0,0,0,0,0,0,0,78,2.1,26.4,3.7
177,"Seaweed, raw, wakame",100,45,0.6,0.1,0,360,18,0,0.002,3,1,1,5.3,9.14,0.5,0.65,0.64
178,"Seaweed, dried, agar",100,306,0.3,0.1,0,0,0,0,0.303,0,5,5,24.4,80.88,7.7,2.97,0.3
179,"Bread, cracked-wheat",100,260,3.9,0.9,0,0,0,0.02,0.304,0,0,0,0,49.5,5.5,0,3.9
180,"Amaranth leaves, raw",100,23,0.3,0.1,0,2917,146,0,0.192,43.3,0,0,1140,4.02,0,0,0.33
181,"Barley, raw, pearled",100,352,1.2,0.2,0,22,1,0,0.26,0,0.02,0.02,2.2,77.72,15.6,0.8,1.16
182,"Polish sausage, pork",100,326,29,10,70,0,0,0.98,0.19,1,0,0,0,1.63,0,0,28.72
183,"Spices, curry powder",100,325,14,1.6,0,19,1,0,0.105,0.7,25.24,25.24,99.8,55.83,53.2,2.76,14.01
184,"Bacon bits, meatless",100,476,26,4.1,0,0,0,1.2,0.08,1.9,6.9,6.9,0,28.6,10.2,0,25.9
185,"Semolina, unenriched",100,360,1.1,0.2,0,0,0,0,0.103,0,0,0,0,72.83,3.9,0,1.05
186,"Grape leaves, canned",100,69,2,0.3,0,5253,263,0,0.136,11.3,1.79,1.79,97.3,11.71,9.9,0,1.97
187,"Spices, ground, sage",100,315,13,7,0,5900,295,0,2.69,32.4,7.48,7.48,1714.5,60.73,40.3,1.71,12.75
188,"PACE, Red Taco Sauce",100,50,0,,0,625,0,0,0,0,0,0,0,12.5,0,6.25,0
189,"DENNY'S, hash browns",100,197,9,1.7,0,0,0,0,0.203,0,0.55,0.55,32.6,26.59,2.7,1.38,8.99
190,"DENNY'S, onion rings",100,385,22,3.7,0,5,0,0,0.089,0,1.23,1.23,50.6,41.05,2.4,4.76,22.23
191,"Ostrich, raw, oyster",100,125,3.7,1.2,73,0,0,4.91,0.507,0,0.2,0.2,0,0,0,0,3.67
192,"Oil, corn and canola",100,884,100,8,0,0,0,0,0,0,14.84,14.84,42.2,0,0,0,100
193,"Pumpkin flowers, raw",100,15,0.1,,0,1947,97,0,0,28,0,0,0,3.28,0,0,0.07
194,"Celery flakes, dried",100,319,2.1,0.6,0,1962,98,0,0.46,86.5,5.55,5.55,584.2,63.7,27.8,35.9,2.1
195,"Crackers, egg, matzo",100,391,2.1,0.5,83,42,13,0.19,0.054,0.1,0,0,0,78.6,2.8,0,2.1
196,"Loganberries, frozen",100,55,0.3,,0,35,2,0,0.065,15.3,0.87,0.87,7.8,13.02,5.3,7.7,0.31
197,"Tangerine juice, raw",100,43,0.2,,0,253,13,0,0.042,31,0.13,0.13,0,10.1,0.2,9.9,0.2
