,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
198,"Soybeans, raw, green",100,147,6.8,0.8,0,180,9,0,0.065,29,0,0,0,11.05,4.2,0,6.8
199,"Soybean, curd cheese",100,151,8.1,1.2,0,42,2,0,0.07,0,0.6,0.6,4.6,6.9,0,1.6,8.1
200,"Game meat, raw, bear",100,161,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,8.3
201,"Game meat, raw, deer",100,120,2.4,1,85,0,0,6.31,0.37,0,0.2,0.2,1.1,0,0,0,2.42
202,"Oranges, navels, raw",100,49,0.2,,0,247,12,0,0.079,59.1,0.15,0.15,0,12.54,2.2,8.5,0.15
203,"Tostada shells, corn",100,474,23,7,0,0,0,0,0.363,0,0,0,0,64.43,5.8,0,23.38
204,"Fish, raw, swordfish",100,144,6.7,1.6,66,120,36,1.7,0.543,0,2.02,2.02,0.1,0,0,0,6.65
205,"Taro, raw, tahitian",100,44,1,0.2,0,2045,102,0,0.116,96,0,0,0,6.91,0,0,0.97
206,"Chicory greens, raw",100,23,0.3,0.1,0,5717,286,0,0.105,24,2.26,2.26,297.6,4.7,4,0.7,0.3
207,"Hearts of palm, raw",100,115,0.2,,0,68,3,0,0.81,8,0.5,0.5,0,25.61,1.5,17.16,0.2
208,"Chayote, raw, fruit",100,19,0.1,,0,0,0,0,0.076,7.7,0.12,0.12,4.1,4.51,1.7,1.66,0.13
209,"Fish, smoked, cisco",100,177,12,1.7,32,943,283,4.26,0.268,0,0.22,0.22,0.1,0,0,0,11.9
210,"Frankfurter, turkey",100,223,17,4,77,0,0,0.82,0.143,0,0.62,0.62,0,3.81,0,1.21,17.29
211,"Candies, jellybeans",100,375,0.1,,0,0,0,0,0.004,0,0,0,0,93.55,0.2,70,0.05
212,"Oil, ucuhuba butter",100,884,100,85,0,0,0,0,0,0,0.6,0.6,0,0,0,0,100
213,Soy protein isolate,100,335,3.4,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,3.39
214,"Syrups, light, corn",100,283,0.2,,0,0,0,0,0,0,0,0,0,76.79,0,76.77,0.2
215,"Fish, raw, milkfish",100,148,6.7,1.7,52,100,30,3.4,0.423,0,0,0,0,0,0,0,6.73
216,"Fish, raw, monkfish",100,76,1.5,0.3,25,40,12,0.9,0.24,1,0,0,0,0,0,0,1.52
217,"Mother's loaf, pork",100,282,22,8,45,0,0,1.05,0.18,1,0,0,0,7.53,0,0,22.3
218,"Tapioca, dry, pearl",100,358,0,,0,0,0,0,0.008,0,0,0,0,88.69,0.9,3.35,0.02
219,"Guavas, raw, common",100,68,1,0.3,0,624,31,0,0.11,228.3,0.73,0.73,2.6,14.32,5.4,8.92,0.95
220,"Spices, celery seed",100,392,25,2.2,0,52,3,0,0.89,17.1,1.07,1.07,0,41.35,11.8,0.67,25.27
221,"Candies, peanut bar",100,522,34,4.7,0,0,0,0,0.153,0,4.1,4.1,0,47.4,4.1,42.22,33.7
222,"Bread, toasted, rye",100,284,3.6,0.7,0,4,0,0,0.074,0.2,0.37,0.37,1.3,53.1,6.4,4.23,3.6
223,"Oil, apricot kernel",100,884,100,6.3,0,0,0,0,0,0,4,4,0,0,0,0,100
224,"Candies, YORK BITES",100,394,7.3,4.4,1,7,0,0,0,0,0,0,0,81.64,2,75,7.32
225,"Meatballs, meatless",100,197,9,1.4,0,0,0,1.5,0.2,0,1.73,1.73,0,8,4.6,1.25,9
226,"Emu, raw, full rump",100,112,1.6,0.4,85,15,4,2.24,0.643,0,0.23,0.23,0,0,0,0,1.64
227,"Mustard greens, raw",100,27,0.4,,0,3024,151,0,0.18,70,2.01,2.01,257.5,4.67,3.2,1.32,0.42
228,"Seaweed, raw, laver",100,35,0.3,0.1,0,5202,260,0,0.159,39,1,1,4,5.11,0.3,0.49,0.28
229,"Sweet rolls, cheese",100,360,18,6.1,76,254,0,0.3,0.069,0.2,0,0,0,43.7,1.2,0,18.3
230,"Figs, stewed, dried",100,107,0.4,0.1,0,4,0,0,0.133,4.4,0.15,0.15,6.7,27.57,4.2,23.35,0.4
231,"Bread sticks, plain",100,412,9.5,1.4,0,0,0,0,0.073,0,1.01,1.01,2.2,68.4,3,1.26,9.5
232,"SILK Mocha, soymilk",100,58,1.4,0.2,0,123,0,0.37,0,0,0,0,0,9.05,0,7.41,1.44
233,Milk and cereal bar,100,413,11,9.1,6,627,188,2,0.819,15.4,0.42,0.42,2.5,72.05,0.4,45.97,10.98
234,"Bread, pumpernickel",100,250,3.1,0.4,0,0,0,0,0.126,0,0.42,0.42,0.8,47.5,6.5,0.53,3.1
235,"Game meat, raw, elk",100,111,1.5,0.5,55,0,0,0,0,0,0,0,0,0,0,0,1.45
236,"PACE, Pico De Gallo",100,31,0,,0,313,0,0,0,3.8,0,0,0,9.38,0,6.25,0
237,"Ostrich, raw, round",100,116,2.4,0.8,71,0,0,5.01,0.517,0,0.2,0.2,0,0,0,0,2.4
238,"HORMEL, Cure 81 Ham",100,106,3.6,1.2,51,0,0,0,0,1.6,0,0,0,0.21,0,0,3.59
239,"Prune juice, canned",100,71,0,,0,3,0,0,0.218,4.1,0.12,0.12,3.4,17.45,1,16.45,0.03
240,"McDONALD'S, BIG MAC",100,257,15,3.8,36,188,0,0.88,0,0.4,0,0,0,20.08,1.6,3.97,14.96
241,"Soy flour, defatted",100,327,1.2,0.1,0,40,2,0,0.574,0,0.12,0.12,4.1,33.92,17.5,16.42,1.22
242,"Bread, toasted, egg",100,315,6.6,1.6,56,231,69,0.11,0.064,0,0.29,0.29,1,52.6,2.5,1.94,6.6
243,"Fish, raw, mahimahi",100,85,0.7,0.2,73,180,54,0.6,0.4,0,0,0,0,0,0,0,0.7
244,"Fish, raw, bluefish",100,124,4.2,0.9,59,398,120,5.39,0.402,0,0,0,0,0,0,0,4.24
245,"Spices, fennel seed",100,345,15,0.5,0,135,7,0,0.47,21,0,0,0,52.29,39.8,0,14.87
246,"Potatoes, skin, raw",100,58,0.1,,0,0,0,0,0.239,11.4,0,0,0,12.44,2.5,0,0.1
247,"Pepper, raw, banana",100,27,0.5,,0,340,17,0,0.357,82.7,0.69,0.69,9.5,5.35,3.4,1.95,0.45
248,"Drumstick pods, raw",100,37,0.2,,0,74,4,0,0.12,141,0,0,0,8.53,3.2,0,0.2
249,"Toppings, pineapple",100,253,0.1,,0,17,1,0,0.028,3.1,0.01,0.01,0.2,66.4,0.4,21.01,0.1
250,Acorn stew (Apache),100,95,3.5,1.3,20,0,0,0.68,0.055,0,0.3,0.3,0,9.22,0.7,0.34,3.47
251,"Tomatoes, sun-dried",100,258,3,0.4,0,874,44,0,0.332,39.2,0.01,0.01,43,55.76,12.3,37.59,2.97
252,"Guava sauce, cooked",100,36,0.1,,0,283,14,0,0.09,146.4,0.55,0.55,1.9,9.48,3.6,5.88,0.14
253,"Pumpkin leaves, raw",100,19,0.4,0.2,0,1942,97,0,0.207,11,0,0,0,2.33,0,0,0.4
254,"Melons, raw, casaba",100,28,0.1,,0,0,0,0,0.163,21.8,0.05,0.05,2.5,6.58,0.9,5.69,0.1
255,"Melon balls, frozen",100,33,0.3,0.1,0,1774,89,0,0.106,6.2,0,0,0,7.94,0.7,0,0.25
256,"Fish oil, cod liver",100,902,100,23,570,100000,30000,0,0,0,0,0,0,0,0,0,100
257,"Nuts, dried, acorns",100,509,31,4.1,0,0,0,0,0.695,0,0,0,0,53.66,0,0,31.41
258,"Rolls, pumpernickel",100,276,2.8,0.5,0,6,0,0,0.1,0,0.63,0.63,1.5,51.87,5.4,0.4,2.8
259,"Gravy, dry, chicken",100,381,9.7,2.9,19,308,38,0.48,0.202,0.6,0,0,0,62.09,0,0,9.73
260,"Fish, raw, tilefish",100,96,2.3,0.4,50,60,18,2.2,0.26,0,0,0,0,0,0,0,2.31
261,"Ice creams, vanilla",100,207,11,6.8,44,421,118,0.39,0.048,0.6,0.3,0.3,0.3,23.6,0.7,21.22,11
262,"SILK Plain, soymilk",100,41,1.7,0.2,0,206,0,1.23,0,0,0,0,0,3.29,0.4,2.47,1.65
263,"Cabbage, raw, savoy",100,27,0.1,,0,1000,50,0,0.19,31,0.17,0.17,68.8,6.1,3.1,2.27,0.1
264,"Fish, raw, tilapia",100,96,1.7,0.6,50,0,0,1.58,0.162,0,0.4,0.4,1.4,0,0,0,1.7
265,"Broccoli raab, raw",100,22,0.5,0.1,0,2622,131,0,0.171,20.2,1.62,1.62,224,2.85,2.7,0.38,0.49
266,"Corn grain, yellow",100,365,4.7,0.7,0,214,11,0,0.622,0,0.49,0.49,0.3,74.26,7.3,0.64,4.74
267,"Turtle, raw, green",100,89,0.5,0.1,50,100,30,1,0.12,0,0.5,0.5,0.1,0,0,0,0.5
268,"Chicory roots, raw",100,72,0.2,,0,6,0,0,0.241,5,0,0,0,17.51,1.5,8.73,0.2
269,Ice cream sandwich,100,237,8.6,2.3,21,286,86,0.05,0.028,0,0.4,0.4,1.3,37.14,0,18.57,8.57
270,"Croutons, seasoned",100,465,18,5.2,7,32,7,0.14,0.083,0,0.4,0.4,7.6,63.5,5,4.41,18.3
271,"Snacks, taro chips",100,498,25,6.4,0,142,7,0,0.438,5,11.34,11.34,18,68.1,7.2,3.82,24.9
272,"Prickly pears, raw",100,41,0.5,0.1,0,43,2,0,0.06,14,0,0,0,9.57,3.6,0,0.51
273,"Fish, raw, haddock",100,74,0.5,0.1,54,57,17,1.83,0.281,0,0.45,0.45,0.1,0,0,0,0.45
274,"Liver cheese, pork",100,304,26,9,174,17490,5252,24.55,0.47,3,0,0,0,2.1,0,0,25.6
275,"Ground turkey, raw",100,148,7.7,2,69,66,20,1,0.564,0,0.09,0.09,0,0,0,0,7.66
276,Jams and preserves,100,278,0.1,,0,0,0,0,0.02,8.8,0.12,0.12,0,68.86,1.1,48.5,0.07
277,"Carrots, raw, baby",100,35,0.1,,0,13790,690,0,0.105,2.6,0,0,9.4,8.24,2.9,4.76,0.13
278,"Oil, nutmeg butter",100,884,100,90,0,0,0,0,0,0,0.2,0.2,0,0,0,0,100
279,"Semolina, enriched",100,360,1.1,0.2,0,0,0,0,0.103,0,0.26,0.26,0,72.83,3.9,0,1.05
280,"Spices, anise seed",100,337,16,0.6,0,311,16,0,0.65,21,0,0,0,50.02,14.6,0,15.9
281,"Snacks, corn cakes",100,387,2.4,0.4,0,242,70,0,0.14,0,0,0,0,83.4,1.9,23.47,2.4
282,"Catsup, low sod m",100,101,0.1,,0,527,26,0,0.158,4.1,1.46,1.46,3,27.4,0.3,21.27,0.1
283,"Croissants, cheese",100,414,21,11,57,805,204,0.32,0.073,0.2,1.44,1.44,10.9,47,2.6,11.35,20.9
284,"Milk, fluid, sheep",100,108,7,4.6,27,147,44,0.71,0.06,4.2,0,0,0,5.36,0,0,7
285,"Acerola juice, raw",100,23,0.3,0.1,0,509,25,0,0.004,1600,0.18,0.18,1.4,4.8,0.3,4.5,0.3
286,"Jute, raw, potherb",100,34,0.3,,0,5559,278,0,0.6,37,0,0,0,5.8,0,0,0.25
287,"Fast food, biscuit",100,370,19,12,2,60,18,0,0.059,0,0.47,0.47,4.5,42.82,2.5,3.88,18.92
288,"Bagels, multigrain",100,241,1.2,,6,2,0,0,0.18,0,0.66,0.66,0.6,47.47,6.2,8.66,1.24
289,"Beef, dried, cured",100,153,1.9,1,79,0,0,1.59,0.386,0,0.38,0.38,1.3,2.76,0,2.7,1.94
290,"Nuts, almond paste",100,458,28,2.6,0,0,0,0,0.036,0.1,13.54,13.54,0,47.81,4.8,36.25,27.74
291,"Seaweed, raw, kelp",100,43,0.6,0.2,0,116,6,0,0.002,3,0.87,0.87,66,9.57,1.3,0.6,0.56
292,"Seaweed, raw, agar",100,26,0,,0,0,0,0,0.032,0,0.87,0.87,2.3,6.75,0.5,0.28,0.03
293,"Fish oil, menhaden",100,902,100,30,521,0,0,0,0,0,0,0,0,0,0,0,100
294,"Rolls, egg, dinner",100,307,6.4,1.6,50,26,5,0.24,0.053,0,0.36,0.36,2.1,52,3.7,4.3,6.4
295,"Bread, white wheat",100,238,2.2,0.6,0,4,0,0,0.08,0,0.38,0.38,7.7,43.91,9.2,5,2.15
296,"Onions, raw, sweet",100,32,0.1,,0,1,0,0,0.13,4.8,0.02,0.02,0.3,7.55,0.9,5.02,0.08
297,"Onions, raw, welsh",100,34,0.4,0.1,0,1160,0,0,0.072,27,0.51,0.51,193.4,6.5,2.4,2.18,0.4
298,"SILK Chai, soymilk",100,53,1.4,0.2,0,123,0,0.37,0,0,0,0,0,7.82,0,5.76,1.44
299,"Rolls, rye, dinner",100,286,3.4,0.6,0,8,0,0,0.062,0,0.34,0.34,3.1,53.1,4.9,1.17,3.4
300,"Gravy, dry, au jus",100,313,9.6,2,4,10,0,0.32,0.174,1,0,0,0,47.49,0,0,9.63
301,"Cheese, neufchatel",100,253,23,13,74,841,241,0.3,0.041,0,0.4,0.4,1.7,3.59,0,3.19,22.78
302,"Hummus, commercial",100,166,9.6,1.4,0,30,0,0,0.2,0,0,0,0,14.29,6,0,9.6
303,"Croissants, butter",100,406,21,12,67,744,206,0.16,0.058,0.2,0.84,0.84,1.8,45.8,2.6,11.26,21
304,"Carrot, dehydrated",100,341,1.5,0.3,0,68466,3423,0,1.04,14.6,5.45,5.45,108,79.57,23.6,38.82,1.49
305,"Vinegar, distilled",100,18,0,,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0
306,"Sapote, raw, mamey",100,124,0.5,0.2,0,143,7,0,0.72,23,2.11,2.11,0,32.1,5.4,20.14,0.46
307,"Soy flour, low-fat",100,372,8.9,1.3,0,40,2,0,1.05,0,0.55,0.55,3.9,30.63,16,9.33,8.9
308,"Syrups, sugar free",100,52,0,,0,0,0,0,0,0,0,0,0,12.13,0.7,0.01,0
309,"Syrups, dark, corn",100,286,0,,0,0,0,0,0.009,0,0,0,0,77.59,0,77.59,0
310,"Taco shells, baked",100,476,22,7.1,0,17,1,0,0.203,0,0.69,0.69,8.6,63.49,6.7,1.5,21.79
311,"Spices, cumin seed",100,375,22,1.5,0,1270,64,0,0.435,7.7,3.33,3.33,5.4,44.24,10.5,2.25,22.27
312,"Bamboo shoots, raw",100,27,0.3,0.1,0,20,1,0,0.24,4,1,1,0,5.2,2.2,3,0.3
313,"Fish, raw, lingcod",100,85,1.1,0.2,52,50,15,3.6,0.3,0,0,0,0,0,0,0,1.06
314,"Whey, dried, sweet",100,353,1.1,0.7,6,30,8,2.37,0.584,1.5,0.02,0.02,0.1,74.46,0,74.46,1.07
315,"Whey, fluid, sweet",100,27,0.4,0.2,2,12,3,0.28,0.031,0.1,0,0,0,5.14,0,5.14,0.36
316,"Spices, poppy seed",100,525,42,4.5,0,0,0,0,0.247,1,1.77,1.77,0,28.13,19.5,2.99,41.56
317,"Babyfood, pretzels",100,397,2,0.4,0,8,0,0,0.083,3.8,0.28,0.28,0.3,82.2,2.3,3.08,2
318,"Fat, mutton tallow",100,902,100,47,102,0,0,0,0,0,2.8,2.8,0,0,0,0,100
319,"Coffeecake, cheese",100,339,15,5.4,85,287,86,0.34,0.058,0.1,0,0,0,44.3,1,0,15.2
320,"Sauce, horseradish",100,503,51,8.2,50,66,17,0.09,0.037,0.2,4.19,4.19,90.9,10.05,1,8.98,50.89
321,"Yardlong bean, raw",100,47,0.4,0.1,0,865,43,0,0.024,18.8,0,0,0,8.35,0,0,0.4
322,"Cress, raw, garden",100,32,0.7,,0,6917,346,0,0.247,69,0.7,0.7,541.9,5.5,1.1,4.4,0.7
323,"Dates, deglet noor",100,282,0.4,,0,10,0,0,0.165,0.4,0.05,0.05,2.7,75.03,8,63.35,0.39
324,"Lambsquarters, raw",100,43,0.8,0.1,0,11600,580,0,0.274,80,0,0,0,7.3,4,0,0.8
325,"Gravy, dry, turkey",100,367,7.2,2,14,35,8,0.58,0.204,0.2,0,0,0,65.12,0,0,7.19
326,Vital wheat gluten,100,370,1.9,0.3,0,0,0,0,0,0,0,0,0,13.79,0.6,0,1.85
327,"Turnip greens, raw",100,32,0.3,0.1,0,11587,579,0,0.263,60,2.86,2.86,251,7.13,3.2,0.81,0.3
328,"Sugars, granulated",100,387,0,,0,0,0,0,0,0,0,0,0,99.98,0,99.8,0
329,"Frankfurter, pork",100,269,24,8.7,66,263,79,0.49,0.322,2,0,0,0,0.28,0.1,0,23.68
330,"Pomegranates, raw",100,83,1.2,0.1,0,0,0,0,0.075,10.2,0.6,0.6,16.4,18.7,4,13.67,1.17
331,"Pears, raw, asian",100,42,0.2,,0,0,0,0,0.022,3.8,0.12,0.12,4.5,10.65,3.6,7.05,0.23
332,"Cookies, molasses",100,430,13,3.2,0,0,0,0,0.104,0,0.11,0.11,5.5,73.8,1,17.6,12.8
333,"Cookies, fig bars",100,348,7.3,1.1,0,33,9,0.09,0.075,0.3,0.65,0.65,5.8,70.9,4.6,46.36,7.3
334,Liverwurst spread,100,305,25,9.9,118,13636,4091,13.46,0.19,3.5,0,0,0,5.89,2.5,1.65,25.45
335,Roast beef spread,100,223,16,6.4,70,1,0,2.38,0.15,0.2,0,0,0,3.73,0.2,0.71,16.28
336,"Chard, raw, swiss",100,19,0.2,,0,6116,306,0,0.099,30,1.89,1.89,830,3.74,1.6,1.1,0.2
337,"Goose, raw, liver",100,133,4.3,1.6,515,30998,9309,54,0.76,4.5,0,0,0,6.32,0,0,4.28
338,"TACO BELL, Nachos",100,350,22,2.2,3,21,5,0.07,0.215,0,4.08,4.08,7.5,34.91,3.2,2.17,21.5
339,"Sausage, meatless",100,255,18,2.9,0,0,0,0,0.828,0,2.1,2.1,0,8.09,2.8,0,18.16
340,"Frankfurter, meat",100,290,26,7.7,77,0,0,1.57,0.166,0,0.19,0.19,0,4.17,0,0,25.76
341,"Rice flour, brown",100,363,2.8,0.6,0,0,0,0,0.736,0,0.6,0.6,0,76.48,4.6,0.66,2.78
342,"Peppermint, fresh",100,70,0.9,0.2,0,4248,212,0,0.129,31.8,0,0,0,14.89,8,0,0.94
343,"Vinegar, red wine",100,19,0,,0,0,0,0,0,0.5,0,0,0,0.27,0,0,0
344,"Vinegar, balsamic",100,88,0,,0,0,0,0,0,0,0,0,0,17.03,0,14.95,0
345,"Luxury loaf, pork",100,141,4.8,1.6,36,0,0,1.37,0.31,0,0,0,0,4.9,0,0,4.8
346,"Rye flour, med m",100,349,1.5,0.2,0,0,0,0,0.268,0,1.43,1.43,5.9,75.43,11.8,1.1,1.52
347,"DENNY'S, coleslaw",100,183,15,2.3,23,707,42,0,0.102,13.2,0.93,0.93,86.1,10.88,1.3,8.16,15.03
348,"Bread, wheat bran",100,248,3.4,0.8,0,0,0,0,0.176,0,0.32,0.32,1.3,47.8,4,9.68,3.4
349,"Croissants, apple",100,254,8.7,5,31,380,94,0.2,0.032,0.5,0,0,0,37.1,2.5,0,8.7
350,"Candies, Tamarind",100,368,0,,0,15,1,0,0.032,0,0.05,0.05,1.4,91.96,2.5,78.57,0
351,"Oheloberries, raw",100,28,0.2,,0,830,42,0,0,6,0,0,0,6.84,0,0,0.22
352,"PACE, Salsa Verde",100,47,1.6,,0,625,0,0,0,3.8,0,0,0,6.25,0,6.25,1.56
353,Barley malt flour,100,361,1.8,0.4,0,19,1,0,0.655,0.6,0.57,0.57,2.2,78.3,7.1,0.8,1.84
354,"Rice noodles, dry",100,364,0.6,0.2,0,0,0,0,0.015,0,0.11,0.11,0,80.18,1.6,0.12,0.56
355,"Fish oil, sardine",100,902,100,30,710,0,0,0,0,0,0,0,0,0,0,0,100
356,"Fish oil, herring",100,902,100,21,766,0,0,0,0,0,0,0,0,0,0,0,100
357,"Plantains, cooked",100,116,0.2,0.1,0,909,45,0,0.24,10.9,0.13,0.13,0.7,31.15,2.3,14,0.18
358,"Burdock root, raw",100,72,0.2,,0,0,0,0,0.24,3,0.38,0.38,1.6,17.34,3.3,2.9,0.15
359,"Butterbur, canned",100,3,0.1,,0,0,0,0,0.033,11.9,0,0,0,0.38,0,0,0.13
360,"Ostrich, raw, fan",100,117,2.7,1,73,0,0,4.97,0.513,0,0.2,0.2,0,0,0,0,2.65
361,"SILK Nog, soymilk",100,74,1.6,,0,0,0,0,0,0,0,0,0,12.3,0,9.84,1.64
362,"Gravy, dry, brown",100,367,9.6,3.3,3,27,8,0.7,0.1,0.3,0,0,0,59.38,2,0,9.61
363,"Cheese, provolone",100,351,27,17,69,880,236,1.46,0.073,0,0.23,0.23,2.2,2.14,0,0.56,26.62
364,"Cheese, roquefort",100,369,31,19,90,1047,294,0.64,0.124,0,0,0,0,2,0,0,30.64
365,"Muffins, oat bran",100,270,7.4,1.1,0,0,0,0.01,0.161,0,0.66,0.66,13,48.3,4.6,8.22,7.4
366,"Syrups, grenadine",100,268,0,,0,0,0,0,0,0,0,0,0,66.91,0,46.55,0
367,"Raisins, seedless",100,299,0.5,0.1,0,0,0,0,0.174,2.3,0.12,0.12,3.5,79.18,3.7,59.19,0.46
368,"Strawberries, raw",100,32,0.3,,0,12,1,0,0.047,58.8,0.29,0.29,2.2,7.68,2,4.89,0.3
369,"Fish, raw, burbot",100,90,0.8,0.2,60,15,5,0.8,0.3,0,0,0,0,0,0,0,0.81
370,"Wheat germ, crude",100,360,9.7,1.7,0,0,0,0,1.3,0,0,0,0,51.8,13.2,0,9.72
371,"Wheat, hard white",100,342,1.7,0.3,0,9,0,0,0.368,0,1.01,1.01,1.9,75.9,12.2,0.41,1.71
372,"Wheat bran, crude",100,216,4.3,0.6,0,9,0,0,1.303,0,1.49,1.49,1.9,64.51,42.8,0.41,4.25
373,"Gooseberries, raw",100,44,0.6,,0,290,15,0,0.08,27.7,0.37,0.37,0,10.18,4.3,0,0.58
374,"Spices, dill seed",100,305,15,0.7,0,53,3,0,0.25,21,0,0,0,55.17,21.1,0,14.54
375,"Oil, cocoa butter",100,884,100,60,0,0,0,0,0,0,1.8,1.8,24.7,0,0,0,100
376,"APPLEBEE'S, chili",100,157,9.8,4.2,45,1436,149,1.26,0.321,1.1,1.15,1.15,0,4.57,1.4,2.27,9.79
377,"Grape leaves, raw",100,93,2.1,0.3,0,27521,1376,0,0.4,11.1,2,2,108.6,17.31,11,6.3,2.12
378,"Kale, raw, scotch",100,42,0.6,0.1,0,3100,155,0,0.227,130,0,0,0,8.32,1.7,0,0.6
379,"Marmalade, orange",100,246,0,,0,62,3,0,0.019,4.8,0.06,0.06,0,66.3,0.7,60,0
380,"Whey, dried, acid",100,339,0.5,0.3,3,59,17,2.5,0.62,0.9,0,0,0,73.45,0,73.45,0.54
381,"Whey, fluid, acid",100,24,0.1,0.1,1,7,2,0.18,0.042,0.1,0,0,0,5.12,0,5.12,0.09
382,"Eggplant, pickled",100,49,0.7,0.1,0,50,3,0,0.14,0,0.03,0.03,3.7,9.77,2.5,4.8,0.7
383,"Babyfood, cookies",100,433,13,2.4,12,23,6,0.46,5.899,7,0.46,0.46,1.1,67.1,0.2,24.2,13.2
384,"Fennel, raw, bulb",100,31,0.2,0.1,0,963,48,0,0.047,12,0.58,0.58,62.8,7.3,3.1,3.93,0.2
385,"Egg, dried, whole",100,592,44,15,1630,999,300,2.96,0.499,0,3.88,3.88,1.2,1.13,0,0.56,43.9
386,"Coffeecake, fruit",100,311,10,2.5,7,140,7,0.02,0.037,0.8,0,0,0,51.5,2.5,0,10.2
387,"Candies, caramels",100,382,8.1,2.5,7,42,12,0.3,0.056,0.4,0.46,0.46,1.8,77,0,65.5,8.1
388,"Sour cream, light",100,136,11,6.6,35,328,90,0.42,0.02,0.9,0.3,0.3,0.5,7.1,0,0.22,10.6
389,"Egg, dried, white",100,382,0,,0,0,0,0.18,0.036,0,0,0,0,7.8,0,5.4,0
390,"Wild rice, cooked",100,101,0.3,,0,3,0,0,0.135,0,0.24,0.24,0.5,21.34,1.8,0.73,0.34
391,"Chicken, meatless",100,224,13,1.5,0,0,0,2.18,0.7,0,2.68,2.68,0,3.64,3.6,0,12.73
392,"Corn grain, white",100,365,4.7,0.7,0,0,0,0,0.622,0,0,0,0,74.26,0,0,4.74
393,"Veal, raw, ground",100,197,13,5.1,49,0,0,2.28,0.446,0,0.49,0.49,1.4,0,0,0,13.06
394,"Wheat, soft white",100,340,2,0.4,0,9,0,0,0.378,0,1.01,1.01,1.9,75.36,12.7,0.41,1.99
395,"Elderberries, raw",100,73,0.5,,0,600,30,0,0.23,36,0,0,0,18.4,7,0,0.5
396,"Nuts, raw, acorns",100,387,24,3.1,0,39,2,0,0.528,0,0,0,0,40.75,0,0,23.86
397,"Orange juice, raw",100,45,0.2,,0,200,10,0,0.04,50,0.04,0.04,0.1,10.4,0.2,8.4,0.2
398,"POPEYES, Coleslaw",100,161,11,1.9,7,185,56,0,0.102,14.7,0,0,0,14.12,1.7,10.83,11.18
399,"Cabbage, raw, red",100,31,0.2,,0,1116,56,0,0.209,57,0.11,0.11,38.2,7.37,2.1,3.83,0.16
400,"Blackberries, raw",100,43,0.5,,0,214,11,0,0.03,21,1.17,1.17,19.8,9.61,5.3,4.88,0.49
401,"Wasabi, raw, root",100,109,0.6,,0,35,2,0,0.274,41.9,0,0,0,23.54,7.8,0,0.63
402,"Cheese, limburger",100,327,27,17,90,1155,340,1.04,0.086,0,0.23,0.23,2.3,0.49,0,0.49,27.25
403,"Raspberries, raw",100,52,0.7,,0,33,2,0,0.055,26.2,0.87,0.87,7.8,11.94,6.5,4.42,0.65
