,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
404,"Corn bran, crude",100,224,0.9,0.1,0,71,4,0,0.152,0,0.42,0.42,0.3,85.64,79,0,0.92
405,"Bread, rice bran",100,243,4.6,0.7,0,3,0,0,0.268,0,0.65,0.65,1,43.5,4.9,4.67,4.6
406,"Taro shoots, raw",100,11,0.1,,0,50,3,0,0.111,21,0,0,0,2.32,0,0,0.09
407,"Sugars, powdered",100,389,0,,0,0,0,0,0,0,0,0,0,99.77,0,97.81,0
408,"Emu, raw, ground",100,134,4,1,69,0,0,6.75,0.642,0,0.24,0.24,0,0,0,0,4.03
409,"Cookies, fortune",100,378,2.7,0.7,2,3,1,0.01,0.013,0,0.03,0.03,1.1,84,1.6,45.42,2.7
410,"Fish, raw, cisco",100,98,1.9,0.4,50,100,30,1,0.3,0,0,0,0,0,0,0,1.91
411,"Couscous, cooked",100,112,0.2,,0,0,0,0,0.051,0,0.13,0.13,0.1,23.22,1.4,0.1,0.16
412,"Dill weed, fresh",100,43,1.1,0.1,0,7718,386,0,0.185,85,0,0,0,7.02,2.1,0,1.12
413,"Spearmint, dried",100,285,6,1.6,0,10579,529,0,2.579,0,0,0,0,52.04,29.8,0,6.03
414,"Spearmint, fresh",100,44,0.7,0.2,0,4054,203,0,0.158,13.3,0,0,0,8.41,6.8,0,0.73
415,Tamales (Navajo),100,153,6.1,2.4,17,0,0,0.54,0.143,1.7,0,0,0,18.12,3.1,0.99,6.12
416,"Rice bran, crude",100,316,21,4.2,0,0,0,0,4.07,0,4.92,4.92,1.9,49.69,21,0.9,20.85
417,"Rye flour, light",100,357,1.3,0.2,0,0,0,0,0.234,0,0.83,0.83,5.9,76.68,8,0.93,1.33
418,"Spices, bay leaf",100,313,8.4,2.3,0,6185,309,0,1.74,46.5,0,0,0,74.97,26.3,0,8.36
419,"Spices, cardamom",100,311,6.7,0.7,0,0,0,0,0.23,21,0,0,0,68.47,28,0,6.7
420,"Lemon juice, raw",100,22,0.2,,0,6,0,0,0.046,38.7,0.15,0.15,0,6.9,0.3,2.52,0.24
421,"Ginger root, raw",100,80,0.8,0.2,0,0,0,0,0.16,5,0.26,0.26,0.1,17.77,2,1.7,0.75
422,"Fish oil, salmon",100,902,100,20,485,0,0,0,0,0,0,0,0,0,0,0,100
423,"Fish, tuna salad",100,187,9.3,1.5,13,97,24,1.2,0.081,2.2,0,0,0,9.41,0,0,9.26
424,"Orange peel, raw",100,97,0.2,,0,420,21,0,0.176,136,0.25,0.25,0,25,10.6,0,0.2
425,"Blueberries, raw",100,57,0.3,,0,54,3,0,0.052,9.7,0.57,0.57,19.3,14.49,2.4,9.96,0.33
426,"Cheese, muenster",100,368,30,19,96,1012,298,1.47,0.056,0,0.26,0.26,2.5,1.12,0,1.12,30.04
427,"Beet greens, raw",100,22,0.1,,0,6326,316,0,0.106,30,1.5,1.5,400,4.33,3.7,0.5,0.13
428,"Cheese, cheshire",100,387,31,19,103,985,233,0.83,0.074,0,0,0,0,4.78,0,0,30.6
429,"Bagels, oat bran",100,255,1.2,0.2,0,4,1,0,0.043,0.2,0.33,0.33,0.4,53.3,3.6,1.63,1.2
430,"Fat, beef tallow",100,902,100,50,109,0,0,0,0,0,2.7,2.7,0,0,0,0,100
431,"Clementines, raw",100,47,0.2,,0,0,0,0,0.075,48.8,0.2,0.2,0,12.02,1.7,9.18,0.15
432,"Peas, raw, green",100,81,0.4,0.1,0,765,38,0,0.169,40,0.13,0.13,24.8,14.45,5.7,5.67,0.4
433,"Oat bran, cooked",100,40,0.9,0.2,0,0,0,0,0.025,0,0,0,0,11.44,2.6,0,0.86
434,"Pears, bosc, raw",100,67,0.1,,0,19,1,0,0.021,2.8,0.12,0.12,5.2,16.1,3.1,10.23,0.09
435,"Sugar, turbinado",100,399,0,,0,0,0,0,0,0,0,0,0,99.8,0,99.19,0
436,"Headcheese, pork",100,157,11,3.4,69,0,0,1.05,0.19,0,0.25,0.25,3.4,0,0,0,10.9
437,Ham salad spread,100,216,16,5,37,0,0,0.76,0.15,0,1.74,1.74,0,10.64,0,0,15.53
438,"Olive loaf, pork",100,235,17,5.9,38,200,60,1.26,0.23,0,0.25,0.25,3.4,9.2,0,0,16.5
439,"Pastrami, turkey",100,139,6.2,1.4,68,12,4,0.24,0.27,8.1,0.22,0.22,0,3.34,0.1,3.34,6.21
440,"Cranberries, raw",100,46,0.1,,0,63,3,0,0.057,14,1.32,1.32,5,11.97,3.6,4.27,0.13
441,"POPEYES, biscuit",100,401,24,12,2,212,64,0,0.047,0,1.02,1.02,0,40.95,3.8,3.46,23.71
442,"Egg, dried, yolk",100,669,59,20,2307,1590,477,5.11,0.742,0,4.81,4.81,1.5,0.66,0,0.23,59.13
443,"Quinoa, uncooked",100,368,6.1,0.7,0,14,1,0,0.487,0,2.44,2.44,0,64.16,7,0,6.07
444,"Emu, raw, oyster",100,141,4.9,1.2,81,0,0,6.76,0.643,0,0.24,0.24,0,0,0,0,4.86
445,"Rose-apples, raw",100,25,0.3,,0,339,17,0,0,22.3,0,0,0,5.7,0,0,0.3
446,"Cheese, monterey",100,373,30,19,89,769,198,0.83,0.079,0,0.26,0.26,2.5,0.68,0,0.5,30.28
447,"Fish, raw, scup",100,105,2.7,0.6,52,90,27,1.4,0.3,0,0.5,0.5,0.1,0,0,0,2.73
448,"Cheese, cheddar",100,404,33,19,99,1242,330,1.1,0.066,0,0.71,0.71,2.4,3.09,0,0.48,33.31
449,"Cheese, caraway",100,376,29,19,93,1054,271,0.27,0.074,0,0,0,0,3.06,0,0,29.2
450,"Oil, wheat germ",100,884,100,19,0,0,0,0,0,0,149.4,149.4,24.7,0,0,0,100
451,"Bread, oat bran",100,236,4.4,0.7,0,5,2,0,0.073,0,0.44,0.44,1.2,39.8,4.5,7.7,4.4
452,"Watermelon, raw",100,30,0.2,,0,569,28,0,0.045,8.1,0.05,0.05,0.1,7.55,0.4,6.2,0.15
453,Potato pancakes,100,268,15,2.5,95,113,32,0.29,0.448,27.6,0.23,0.23,2.7,27.81,3.3,1.79,14.76
454,Spinach souffle,100,172,13,6.1,118,2891,244,0.4,0.098,7.3,0.93,0.93,126.5,5.9,0.7,1.85,12.95
455,"Bacon, meatless",100,309,30,4.6,0,88,4,0,0.479,0,6.9,6.9,0,5.31,2.6,0,29.52
456,"Rosemary, fresh",100,131,5.9,2.8,0,2924,146,0,0.336,21.8,0,0,0,20.7,14.1,0,5.86
457,"Syrups, sorghum",100,290,0,,0,0,0,0,0.67,0,0,0,0,74.9,0,74.9,0
458,"Rye flour, dark",100,325,2.2,0.3,0,11,1,0,0.443,0,2.73,2.73,5.9,68.63,23.8,2.31,2.22
459,"Oil, tomatoseed",100,884,100,20,0,0,0,0,0,0,3.8,3.8,0,0,0,0,100
460,"Croutons, plain",100,407,6.6,1.5,0,0,0,0,0.026,0,0,0,0,73.5,5.1,0,6.6
461,"Lemon peel, raw",100,47,0.3,,0,50,3,0,0.172,129,0.25,0.25,0,16,10.6,4.17,0.3
462,"Spices, paprika",100,282,13,2.1,0,49254,2463,0,2.141,0.9,29.1,29.1,80.3,53.99,34.9,10.34,12.89
463,"Nectarines, raw",100,44,0.3,,0,332,17,0,0.025,5.4,0.77,0.77,2.2,10.55,1.7,7.89,0.32
464,"Mulberries, raw",100,43,0.4,,0,25,1,0,0.05,36.4,0.87,0.87,7.8,9.8,1.7,8.1,0.39
465,"Lotus root, raw",100,74,0.1,,0,0,0,0,0.258,44,0,0,0,17.23,4.9,0,0.1
466,"Sauce, barbecue",100,172,0.6,,0,224,11,0,0.075,0.6,0.8,0.8,1.8,40.77,0.9,33.24,0.63
467,"Fish, raw, spot",100,123,4.9,1.5,60,100,30,3,0.4,0,0,0,0,0,0,0,4.9
468,"Crabapples, raw",100,76,0.3,,0,40,2,0,0,8,0,0,0,19.95,0,0,0.3
469,"Breadfruit, raw",100,103,0.2,,0,0,0,0,0.1,29,0.1,0.1,0.5,27.12,4.9,11,0.23
470,Arrowroot flour,100,357,0.1,,0,0,0,0,0.005,0,0,0,0,88.15,3.4,0,0.1
471,"Pimento, canned",100,23,0.3,,0,2655,133,0,0.215,84.9,0.69,0.69,8.3,5.1,1.9,2.71,0.3
472,"Tomatillos, raw",100,32,1,0.1,0,114,6,0,0.056,11.7,0.38,0.38,10.1,5.84,1.9,3.93,1.02
473,"Raisins, seeded",100,296,0.5,0.2,0,0,0,0,0.188,5.4,0,0,0,78.47,6.8,0,0.54
474,"Bologna, turkey",100,209,16,4.4,75,32,9,0.23,0.243,13.3,0.45,0.45,0.3,4.68,0.5,2.9,16.05
475,Vanilla extract,100,288,0.1,,0,0,0,0,0.026,0,0,0,0,12.65,0,12.65,0.06
476,"Fish, raw, carp",100,127,5.6,1.1,66,30,9,1.53,0.19,1.6,0.63,0.63,0.1,0,0,0,5.6
477,"Wheat, sprouted",100,198,1.3,0.2,0,0,0,0,0.265,2.6,0,0,0,42.53,1.1,0,1.27
478,"Fish, raw, cusk",100,87,0.7,0.1,41,60,18,1.04,0.387,0,0,0,0,0,0,0,0.69
479,"Watercress, raw",100,11,0.1,,0,3191,160,0,0.129,43,1,1,250,1.29,0.5,0.2,0.1
480,"Fish, raw, ling",100,87,0.6,0.1,40,100,30,0.56,0.304,0,0,0,0,0,0,0,0.64
481,"Bread, cinnamon",100,253,5.3,,0,4,0,0.05,0.027,0,0.5,0.5,9.5,44.38,3.5,14.11,5.29
482,"Spices, saffron",100,310,5.9,1.6,0,530,27,0,1.01,80.8,0,0,0,65.37,3.9,0,5.85
483,"Lime juice, raw",100,25,0.1,,0,50,2,0,0.038,30,0.22,0.22,0.6,8.42,0.4,1.69,0.07
484,"Spelt, uncooked",100,338,2.4,0.4,0,10,0,0,0.23,0,0.79,0.79,3.6,70.19,10.7,6.82,2.43
485,"Cabbage, kimchi",100,15,0.5,0.1,0,93,5,0,0.213,0,0.11,0.11,43.6,2.4,1.6,1.06,0.5
486,"Seeds, flaxseed",100,534,42,3.7,0,0,0,0,0.473,0.6,0.31,0.31,4.3,28.88,27.3,1.55,42.16
487,"Cheese, gruyere",100,413,32,19,110,948,271,1.6,0.081,0,0.28,0.28,2.7,0.36,0,0.36,32.34
488,"Cheese, gjetost",100,466,30,19,94,1113,334,2.42,0.271,0,0,0,0,42.65,0,0,29.51
489,"Cheese, fontina",100,389,31,19,116,913,261,1.68,0.083,0,0.27,0.27,2.6,1.55,0,1.55,31.14
490,"Butter, salted",100,717,81,51,215,2499,684,0.17,0.003,0,2.32,2.32,7,0.06,0,0.06,81.11
491,"Oil, rice bran",100,884,100,20,0,0,0,0,0,0,32.3,32.3,24.7,0,0,0,100
492,"Crackers, milk",100,446,14,2.9,11,58,16,0.08,0.037,0.2,1.22,1.22,3.8,71.73,3.4,10.32,13.77
493,"Dates, medjool",100,277,0.2,,0,149,7,0,0.249,0,0,0,2.7,74.97,6.7,66.47,0.15
494,"Arrowroot, raw",100,65,0.2,,0,19,1,0,0.266,1.9,0,0,0,13.39,1.3,0,0.2
495,"Bread, oatmeal",100,269,4.4,0.7,0,16,5,0.03,0.068,0,0.48,0.48,1.5,48.5,4,8.14,4.4
496,"Bread, italian",100,271,3.5,,0,1,0,0,0.048,0,0.29,0.29,1.2,50.1,3.2,3.17,3.5
497,"Tamarinds, raw",100,239,0.6,0.3,0,30,2,0,0.066,3.5,0.1,0.1,2.8,62.5,5.1,38.8,0.6
498,"Millet, puffed",100,354,3.4,0.7,0,0,0,0,0.36,0,0.66,0.66,1.4,80,2.7,0.55,3.4
499,"Vinegar, cider",100,21,0,,0,0,0,0,0,0,0,0,0,0.93,0,0.4,0
500,"Scrapple, pork",100,213,14,4.7,49,2086,626,0.31,0.12,2.5,0.15,0.15,3.4,14.06,0.3,0.2,13.87
501,"Oil, poppyseed",100,884,100,14,0,0,0,0,0,0,11.4,11.4,0,0,0,0,100
502,"Oil, grapeseed",100,884,100,9.6,0,0,0,0,0,0,28.8,28.8,0,0,0,0,100
503,"Longans, dried",100,286,0.4,,0,0,0,0,0,28,0,0,0,74,0,0,0.4
504,"Pectin, liquid",100,11,0,,0,0,0,0,0,0,0,0,0,2.1,2.1,0,0
505,"Pretzels, soft",100,338,3.1,0.7,0,0,0,0,0.02,0,0.54,0.54,2.7,69.39,1.7,0.25,3.1
506,"Quinoa, cooked",100,120,1.9,0.2,0,5,0,0,0.123,0,0.63,0.63,0,21.3,2.8,0.87,1.92
507,"Plantains, raw",100,122,0.4,0.1,0,1127,56,0,0.299,18.4,0.14,0.14,0.7,31.89,2.3,15,0.37
508,"Parsley, fresh",100,36,0.8,0.1,0,8424,421,0,0.09,133,0.75,0.75,1640,6.33,3.3,0.85,0.79
509,"Barley, hulled",100,354,2.3,0.5,0,22,1,0,0.318,0,0.57,0.57,2.2,73.48,17.3,0.8,2.3
510,"Cheese, romano",100,387,27,17,104,415,96,1.12,0.085,0,0.23,0.23,2.2,3.63,0,0.73,26.94
511,Dulce de Leche,100,315,7.4,4.5,29,267,74,0.31,0.016,2.6,0.2,0.2,1.3,55.35,0,49.74,7.35
512,"Radicchio, raw",100,23,0.3,0.1,0,27,1,0,0.057,8,2.26,2.26,255.2,4.48,0.9,0.6,0.25
513,"Bulgur, cooked",100,83,0.2,,0,2,0,0,0.083,0,0.01,0.01,0.5,18.58,4.5,0.1,0.24
514,"Tempeh, cooked",100,195,11,3.4,0,0,0,0.14,0.199,0,0,0,0,7.62,0,0,11.38
515,Chicken spread,100,158,18,3.2,56,99,30,0.13,0.15,0,0,0,0,4.05,0.3,0.47,17.56
516,"Millet, cooked",100,119,1,0.2,0,3,0,0,0.108,0,0.02,0.02,0.3,23.67,1.3,0.13,1
517,"Capers, canned",100,23,0.9,0.2,0,138,7,0,0.023,4.3,0.88,0.88,24.6,4.89,3.2,0.41,0.86
518,"Sapodilla, raw",100,83,1.1,0.2,0,60,3,0,0.037,14.7,0,0,0,19.96,5.3,0,1.1
519,"Wild rice, raw",100,357,1.1,0.2,0,19,1,0,0.391,0,0.82,0.82,1.9,74.9,6.2,2.5,1.08
520,"Arrowhead, raw",100,99,0.3,,0,0,0,0,0.26,1.1,0,0,0,20.23,0,0,0.29
521,"Frog legs, raw",100,73,0.3,0.1,50,50,15,0.4,0.12,0,1,1,0.1,0,0,0,0.3
522,"Jackfruit, raw",100,95,0.6,0.2,0,110,5,0,0.329,13.7,0.34,0.34,0,23.25,1.5,19.08,0.64
523,"Litchis, dried",100,277,1.2,0.3,0,0,0,0,0.09,183,0.31,0.31,1.6,70.7,4.6,66.1,1.2
524,"Rutabagas, raw",100,37,0.2,,0,2,0,0,0.1,25,0.3,0.3,0.3,8.62,2.3,4.46,0.16
525,"Cornsalad, raw",100,21,0.4,,0,7092,355,0,0.273,38.2,0,0,0,3.6,0,0,0.4
526,"Strudel, apple",100,274,11,2,6,30,6,0.22,0.046,1.7,1.42,1.42,2.9,41.1,2.2,25.75,11.2
527,"Oil, cupu assu",100,884,100,53,0,0,0,0,0,0,0.6,0.6,0,0,0,0,100
528,"Cherimoya, raw",100,75,0.7,0.2,0,5,0,0,0.257,12.6,0.27,0.27,0,17.71,3,12.87,0.68
529,"Cheese, tilsit",100,340,26,17,102,1045,249,2.1,0.065,0,0,0,0,1.88,0,0,25.98
530,"Asparagus, raw",100,20,0.1,,0,756,38,0,0.091,5.6,1.13,1.13,41.6,3.88,2.1,1.88,0.12
531,"Apricots, raw",100,48,0.4,,0,1926,96,0,0.054,10,0.89,0.89,3.3,11.12,2,9.24,0.39
532,"Broccoli, raw",100,34,0.4,,0,623,31,0,0.175,89.2,0.78,0.78,101.6,6.64,2.6,1.7,0.37
533,"Cheese, brick",100,371,30,19,94,1080,292,1.26,0.065,0,0.26,0.26,2.5,2.79,0,0.51,29.68
534,"Sugars, brown",100,380,0,,0,0,0,0,0.041,0,0,0,0,98.09,0,97.02,0
535,Candied fruit,100,322,0.1,,0,19,1,0,0,0,0.04,0.04,0.3,82.74,1.6,80.68,0.07
536,"Bologna, beef",100,299,26,10,57,90,19,1.19,0.157,15.2,0.56,0.56,2.4,4.29,0,2.05,26.13
537,Blood sausage,100,379,35,13,120,0,0,1,0.04,0,0.13,0.13,0,1.29,0,1.29,34.5
538,"Nuts, almonds",100,579,50,3.8,0,2,0,0,0.137,0,25.63,25.63,0,21.55,12.5,4.35,49.93
539,"Shallots, raw",100,72,0.1,,0,4,0,0,0.345,8,0.04,0.04,0.8,16.8,3.2,7.87,0.1
540,"Couscous, dry",100,376,0.6,0.1,0,0,0,0,0.11,0,0,0,0,77.43,5,0,0.64
541,"Candies, hard",100,394,0.2,,0,0,0,0,0.003,0,0,0,0,98,0,62.9,0.2
542,Meat extender,100,311,3,0.4,0,32,2,6,1.336,0,0,0,0,34.71,17.5,0,2.97
543,"Syrups, maple",100,260,0.1,,0,0,0,0,0.002,0,0,0,0,67.04,0,60.46,0.06
544,Sorghum grain,100,329,3.5,0.6,0,0,0,0,0.443,0,0.5,0.5,0,72.09,6.7,2.53,3.46
545,"Oil, hazelnut",100,884,100,7.4,0,0,0,0,0,0,47.2,47.2,0,0,0,0,100
546,"Pepeao, dried",100,298,0.4,,0,0,0,0,0.95,1.4,0,0,0,81.03,0,0,0.44
547,"Purslane, raw",100,20,0.4,,0,1320,0,0,0.073,21,0,0,0,3.39,0,0,0.36
548,"Radishes, raw",100,16,0.1,,0,7,0,0,0.071,14.8,0,0,1.3,3.4,1.6,1.86,0.1
549,"Rolls, french",100,277,4.3,1,0,0,0,0,0.039,0,0.3,0.3,1.8,50.2,3.2,0.31,4.3
550,"Bagels, wheat",100,250,1.5,,0,0,0,0,0.147,0,0.32,0.32,1.5,48.89,4.1,6.12,1.53
551,"KFC, Coleslaw",100,144,8.6,1.3,2,4,1,0.03,0.121,14.6,0.54,0.54,70.9,15.65,2,13.54,8.64
552,"Parsnips, raw",100,75,0.3,0.1,0,0,0,0,0.09,17,1.49,1.49,22.5,17.99,4.9,4.8,0.3
553,"Sugars, maple",100,354,0.2,,0,0,0,0,0.003,0,0,0,0,90.9,0,84.87,0.2
554,"Collards, raw",100,32,0.6,0.1,0,5019,251,0,0.165,35.3,2.26,2.26,437.1,5.42,4,0.46,0.61
555,Rice crackers,100,416,5,,0,0,0,0,0.554,0,1.26,1.26,2.1,82.64,0,0,5
556,"Cheese, colby",100,394,32,20,95,994,264,0.83,0.079,0,0.28,0.28,2.7,2.57,0,0.52,32.11
557,"Cheese, cream",100,350,34,20,101,1111,308,0.22,0.056,0,0.86,0.86,2.1,5.52,0,3.76,34.44
558,"Bologna, pork",100,247,20,6.8,59,0,0,0.93,0.27,0,0.26,0.26,0.3,0.73,0,0,19.87
559,"Celeriac, raw",100,42,0.3,0.1,0,0,0,0,0.165,8,0.36,0.36,41,9.2,1.8,1.6,0.3
560,"Kumquats, raw",100,71,0.9,0.1,0,290,15,0,0.036,43.9,0.15,0.15,0,15.9,6.5,9.36,0.86
561,"Oat bran, raw",100,246,7,1.3,0,0,0,0,0.165,0,1.01,1.01,3.2,66.22,15.4,1.45,7.03
562,"Spelt, cooked",100,127,0.9,,0,4,0,0,0.08,0,0.26,0.26,0,26.44,3.9,0,0.85
563,"Bread, cheese",100,408,21,6.3,10,93,24,0.24,0.048,0,1.49,1.49,32.4,44.83,2.1,2.08,20.83
564,"Bread, potato",100,266,3.1,,0,89,24,0.15,0.232,0,0.47,0.47,6.8,47.07,6.3,9.38,3.13
565,"Kohlrabi, raw",100,27,0.1,,0,36,2,0,0.15,62,0.48,0.48,0.1,6.2,3.6,2.6,0.1
566,"Cheese, swiss",100,393,31,18,93,1047,288,3.06,0.071,0,0.6,0.6,1.4,1.44,0,0,30.99
567,"Cheese, gouda",100,356,27,18,114,563,165,1.54,0.08,0,0.24,0.24,2.3,2.22,0,2.22,27.44
568,Tomato powder,100,302,0.4,0.1,0,17247,862,0,0.457,116.7,12.25,12.25,48.8,74.68,16.5,43.9,0.44
569,"Cheese, blue",100,353,29,19,75,721,198,1.22,0.166,0,0.25,0.25,2.4,2.34,0,0.5,28.74
570,"Cheese, brie",100,334,28,17,100,592,174,1.65,0.235,0,0.24,0.24,2.3,0.45,0,0.45,27.68
571,"Celtuce, raw",100,18,0.3,,0,3500,175,0,0.05,19.5,0,0,0,3.65,1.7,0,0.3
572,"Thyme, fresh",100,101,1.7,0.5,0,4751,238,0,0.348,160.1,0,0,0,24.45,14,0,1.68
573,"Basil, fresh",100,23,0.6,,0,5275,264,0,0.155,18,0.8,0.8,414.8,2.65,1.6,0.3,0.64
574,"Rhubarb, raw",100,21,0.2,0.1,0,102,5,0,0.024,8,0.27,0.27,29.3,4.54,1.8,1.1,0.2
575,"Nopales, raw",100,16,0.1,,0,457,23,0,0.07,9.3,0,0,5.3,3.33,2.2,1.15,0.09
576,"Syrups, malt",100,318,0,,0,0,0,0,0.5,0,0,0,0,71.3,0,71.3,0
577,"Oil, teaseed",100,884,100,21,0,0,0,0,0,0,0,0,0,0,0,0,100
578,"Oil, sheanut",100,884,100,47,0,0,0,0,0,0,0,0,0,0,0,0,100
579,"Oil, babassu",100,884,100,81,0,0,0,0,0,0,19.1,19.1,0,0,0,0,100
580,"Longans, raw",100,60,0.1,,0,0,0,0,0,84,0,0,0,15.14,1.1,0,0.1
581,"Loquats, raw",100,47,0.2,,0,1528,76,0,0.1,1,0,0,0,12.14,1.7,0,0.2
582,"Epazote, raw",100,32,0.5,,0,57,3,0,0.152,3.6,0,0,0,7.44,3.8,0,0.52
583,"Pumpkin, raw",100,26,0.1,0.1,0,8513,426,0,0.061,9,1.06,1.06,1.1,6.5,0.5,2.76,0.1
584,"Carrots, raw",100,41,0.2,,0,16706,835,0,0.138,5.9,0.66,0.66,13.2,9.58,2.8,4.74,0.24
585,"Fish, surimi",100,99,0.9,0.2,30,67,20,1.6,0.03,0,0.63,0.63,0.1,6.85,0,0,0.9
586,"Cabbage, raw",100,25,0.1,,0,98,5,0,0.124,36.6,0.15,0.15,76,5.8,2.5,3.2,0.1
587,"Cardoon, raw",100,17,0.1,,0,0,0,0,0.116,2,0,0,0,4.07,1.6,0,0.1
588,"Abiyuch, raw",100,69,0.1,,0,100,5,0,0,54.1,0,0,0,17.6,5.3,8.55,0.1
589,"Bread, wheat",100,267,3.2,0.8,0,2,0,0,0.111,0.2,0.19,0.19,4.9,48.68,4,5.91,3.24
590,"Cheese, edam",100,357,28,18,89,825,243,1.54,0.076,0,0.24,0.24,2.3,1.43,0,1.43,27.8
591,"Cheese, feta",100,264,21,15,89,422,125,1.69,0.424,0,0.18,0.18,1.8,4.09,0,4.09,21.28
592,"Pummelo, raw",100,38,0,,0,8,0,0,0.036,61,0,0,0,9.62,1,0,0.04
593,"Quinces, raw",100,57,0.1,,0,40,2,0,0.04,15,0,0,0,15.3,1.9,0,0.1
594,Cracker meal,100,383,1.7,0.3,0,0,0,0,0.039,0,0.43,0.43,0.3,80.9,2.6,0.33,1.7
595,"Roselle, raw",100,49,0.6,,0,287,14,0,0,12,0,0,0,11.31,0,0,0.64
596,"Soursop, raw",100,66,0.3,0.1,0,2,0,0,0.059,20.6,0.08,0.08,0.4,16.84,3.3,13.54,0.3
597,"Oil, coconut",100,892,99,82,0,0,0,0,0,0,0.11,0.11,0.6,0,0,0,99.06
598,"Wheat, durum",100,339,2.5,0.5,0,0,0,0,0.419,0,0,0,0,71.13,0,0,2.47
599,"KFC, biscuit",100,358,17,12,1,0,0,0,0.063,0,0.26,0.26,0,43.55,2,4.04,17.05
600,Millet flour,100,382,4.3,0.5,0,0,0,0,0.372,0,0.11,0.11,0.8,75.12,3.5,1.66,4.25
601,"Arugula, raw",100,25,0.7,0.1,0,2373,119,0,0.073,15,0.43,0.43,108.6,3.65,1.6,2.05,0.66
602,Potato flour,100,357,0.3,0.1,0,0,0,0,0.769,3.8,0.25,0.25,0,83.1,5.9,3.52,0.34
603,"Litchis, raw",100,66,0.4,0.1,0,0,0,0,0.1,71.5,0.07,0.07,0.4,16.53,1.3,15.23,0.44
604,"Teff, cooked",100,101,0.7,,0,2,0,0,0.097,0,0,0,0,19.86,2.8,0,0.65
605,"Spinach, raw",100,23,0.4,0.1,0,9377,469,0,0.195,28.1,2.03,2.03,482.9,3.63,2.2,0.42,0.39
606,"Oil, mustard",100,884,100,12,0,0,0,0,0,0,0,0,0,0,0,0,100
607,"Oil, avocado",100,884,100,12,0,0,0,0,0,0,0,0,0,0,0,0,100
608,Phyllo dough,100,299,6,1.5,0,0,0,0,0.03,0,0.08,0.08,2.5,52.6,1.9,0.18,6
609,"Lentils, raw",100,352,1.1,0.2,0,39,2,0,0.54,4.5,0.49,0.49,5,63.35,10.7,2.03,1.06
610,"Fat, chicken",100,900,100,30,85,0,0,0,0,0,2.7,2.7,0,0,0,0,99.8
611,"Cassava, raw",100,160,0.3,0.1,0,13,1,0,0.088,20.6,0.19,0.19,1.9,38.06,1.8,1.7,0.28
612,"Turnips, raw",100,28,0.1,,0,0,0,0,0.09,21,0.03,0.03,0.1,6.43,1.8,3.8,0.1
613,"Bananas, raw",100,89,0.3,0.1,0,64,3,0,0.367,8.7,0.1,0.1,0.5,22.84,2.6,12.23,0.33
614,"Papayas, raw",100,43,0.3,0.1,0,950,47,0,0.038,60.9,0.3,0.3,2.6,10.82,1.7,7.82,0.26
615,Fruit syrup,100,341,0,,0,2,0,0,0.001,1.6,0.01,0.01,0.1,85.13,0.1,53,0
616,"Chives, raw",100,30,0.7,0.1,0,4353,218,0,0.138,58.1,0.21,0.21,212.7,4.35,2.5,1.85,0.73
617,Carob flour,100,222,0.7,0.1,0,14,1,0,0.366,0.2,0.63,0.63,0,88.88,39.8,49.08,0.65
618,Prune puree,100,257,0.2,,0,2000,100,0,0,4.3,0,0,0,65.1,3.3,39,0.2
