,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
619,"Salt, table",100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
620,Chewing gum,100,360,0.3,,0,0,0,0,0,0,0,0,0,96.7,2.4,66.08,0.3
621,"Fat, turkey",100,900,100,29,102,0,0,0,0,0,2.9,2.9,0,0,0,0,99.8
622,"Tofu, fried",100,270,20,2.9,0,27,1,0,0.099,0,0.04,0.04,7.8,8.86,3.9,2.72,20.18
623,"Borage, raw",100,21,0.7,0.2,0,4200,210,0,0.084,35,0,0,0,3.06,0,0,0.7
624,"Mangos, raw",100,60,0.4,0.1,0,1082,54,0,0.119,36.4,0.9,0.9,4.2,14.98,1.6,13.66,0.38
625,"Garlic, raw",100,149,0.5,0.1,0,9,0,0,1.235,31.2,0.08,0.08,1.7,33.06,2.1,1,0.5
626,"Endive, raw",100,17,0.2,,0,2167,108,0,0.02,6.5,0.44,0.44,231,3.35,3.1,0.25,0.2
627,Tofu yogurt,100,94,1.8,0.3,0,33,2,0,0.02,2.5,0.31,0.31,3.5,15.96,0.2,1.24,1.8
628,"Celery, raw",100,16,0.2,,0,449,22,0,0.074,3.1,0.27,0.27,29.3,2.97,1.6,1.34,0.17
629,"Bagels, egg",100,278,2.1,0.4,24,109,33,0.16,0.087,0.6,0,0,0,53,2.3,0,2.1
630,"Bulgur, dry",100,342,1.3,0.2,0,9,0,0,0.342,0,0.06,0.06,1.9,75.87,12.5,0.41,1.33
631,"Feijoa, raw",100,61,0.4,0.1,0,6,0,0,0.067,32.9,0.16,0.16,3.5,15.21,6.4,8.2,0.42
632,"Millet, raw",100,378,4.2,0.7,0,0,0,0,0.384,0,0.05,0.05,0.9,72.85,8.5,0,4.22
633,"Ham, minced",100,263,21,7.2,70,0,0,0.95,0.26,0,0.27,0.27,0,1.84,0,0,20.68
634,"Oil, almond",100,884,100,8.2,0,0,0,0,0,0,39.2,39.2,7,0,0,0,100
635,"Oil, walnut",100,884,100,9.1,0,0,0,0,0,0,0.4,0.4,15,0,0,0,100
636,"Jujube, raw",100,79,0.2,,0,40,2,0,0.081,69,0,0,0,20.23,0,0,0.2
637,"Oil, canola",100,884,100,7.4,0,0,0,0,0,0,17.46,17.46,71.3,0,0,0,100
638,"Syrup, Cane",100,269,0,,0,0,0,0,0,0,0,0,0,73.14,0,73.2,0
639,"Onions, raw",100,40,0.1,,0,2,0,0,0.12,7.4,0.02,0.02,0.4,9.34,1.7,4.24,0.1
640,Clif Z bar,100,409,9.7,2.7,0,7,0,0,0.073,39.1,0.98,0.98,8.7,74.72,8.3,30.56,9.72
641,Fish broth,100,16,0.6,0.1,0,4,1,0.1,0.01,0,0.15,0.15,0.2,0.4,0,0.09,0.6
642,"Fat, goose",100,900,100,28,100,0,0,0,0,0,2.7,2.7,0,0,0,0,99.8
643,"Bread, rye",100,259,3.3,0.6,0,7,0,0,0.075,0.4,0.33,0.33,1.2,48.3,5.8,3.85,3.3
644,"Eppaw, raw",100,150,1.8,,0,0,0,0,0.176,13,0,0,0,31.68,0,0,1.8
645,"Limes, raw",100,30,0.2,,0,50,2,0,0.043,29.1,0.22,0.22,0.6,10.54,2.8,1.69,0.2
646,"Pie, peach",100,224,10,1.5,0,140,10,0,0.023,0.9,0.94,0.94,3.3,32.9,0.8,16.23,10
647,"Pears, raw",100,57,0.1,,0,25,1,0,0.029,4.3,0.12,0.12,4.4,15.23,3.1,9.75,0.14
648,"Plums, raw",100,46,0.3,,0,345,17,0,0.029,9.5,0.26,0.26,6.4,11.42,1.4,9.92,0.28
649,"Rowal, raw",100,111,2,0.2,0,383,19,0,0,25.8,0,0,0,23.9,6.2,14.1,2
650,"Beets, raw",100,43,0.2,,0,33,2,0,0.067,4.9,0.04,0.04,0.2,9.56,2.8,6.76,0.17
651,"Bread, egg",100,287,6,1.6,51,211,63,0.1,0.064,0,0.26,0.26,0.9,47.8,2.3,1.78,6
652,Buckwheat,100,343,3.4,0.7,0,0,0,0,0.21,0,0,0,0,71.5,10,0,3.4
653,"Oil, palm",100,884,100,49,0,0,0,0,0,0,15.94,15.94,8,0,0,0,100
654,"Fat, duck",100,882,100,33,100,0,0,0,0,0,2.7,2.7,0,0,0,0,99.8
655,Triticale,100,336,2.1,0.4,0,0,0,0,0.138,0,0.9,0.9,0,72.13,0,0,2.09
656,Rye grain,100,338,1.6,0.2,0,11,1,0,0.294,0,0.85,0.85,5.9,75.86,15.1,0.98,1.63
657,"Dock, raw",100,22,0.7,,0,4000,200,0,0.122,48,0,0,0,3.2,2.9,0,0.7
658,"Kale, raw",100,49,0.9,0.1,0,9990,500,0,0.271,120,1.54,1.54,704.8,8.75,3.6,2.26,0.93
659,"Okra, raw",100,33,0.2,,0,716,36,0,0.215,23,0.27,0.27,31.3,7.45,3.2,1.48,0.19
660,"Taro, raw",100,112,0.2,,0,76,4,0,0.283,4.5,2.38,2.38,1,26.46,4.1,0.4,0.2
661,"Figs, raw",100,74,0.3,0.1,0,142,7,0,0.113,2,0.11,0.11,4.7,19.18,2.9,16.26,0.3
662,"Goat, raw",100,109,2.3,0.7,57,0,0,1.13,0,0,0,0,0,0,0,0,2.31
663,Molasses,100,290,0.1,,0,0,0,0,0.67,0,0,0,0,74.73,0,74.72,0.1
664,Zwieback,100,426,9.7,2.5,8,58,16,0,0.082,5.3,2.44,2.44,0.9,74.2,2.5,12.5,9.7
665,"Yam, raw",100,118,0.2,,0,138,7,0,0.293,17.1,0.35,0.35,2.3,27.88,4.1,0.5,0.17
666,"Oil, oat",100,884,100,20,0,0,0,0,0,0,14.4,14.4,24.7,0,0,0,100
667,Jellies,100,266,0,,0,5,0,0,0.02,0.9,0,0,0.3,69.95,1,51.22,0.02
668,Eggnog,100,88,4.2,2.6,59,206,59,0.45,0.05,1.5,0.21,0.21,0.3,8.05,0,8.05,4.19
669,Catsup,100,101,0.1,,0,527,26,0,0.158,4.1,1.46,1.46,3,27.4,0.3,21.27,0.1
670,Tempeh,100,192,11,2.5,0,0,0,0.08,0.215,0,0,0,0,7.64,0,0,10.8
671,Wasabi,100,292,11,2,0,1,0,0,0.05,0,3.44,3.44,3.1,46.13,6.1,13.2,10.9
672,Honey,100,304,0,,0,0,0,0,0.024,0.5,0,0,0,82.4,0.2,82.12,0
673,Natto,100,211,11,1.6,0,0,0,0,0.13,13,0.01,0.01,23.1,12.68,5.4,4.89,11
674,Okara,100,76,1.7,0.2,0,0,0,0,0.115,0,0,0,0,12.23,0,0,1.73
675,Papad,100,371,3.3,1.1,4,50,13,0,0.285,0,0.05,0.05,0.4,59.87,18.6,0,3.25
676,Lard,100,902,100,39,95,0,0,0,0,0,0.6,0.6,0,0,0,0,100
677,Oats,100,389,6.9,1.2,0,0,0,0,0.119,0,0,0,0,66.27,10.6,0,6.9
678,Miso,100,198,6,1,0,87,4,0.08,0.199,0,0.01,0.01,29.3,25.37,5.4,6.2,6.01
679,Poi,100,112,0.1,,0,66,3,0,0.273,4,2.3,2.3,1,27.23,0.4,0.39,0.14
680,"Spices, dried, oregano",100,265,4.3,1.6,0,1701,85,0,1.044,2.3,18.26,18.26,621.7,68.92,42.5,4.09,4.28
681,"Winged bean leaves, raw",100,74,1.1,0.3,0,8090,405,0,0.232,45,0,0,0,14.1,0,0,1.1
682,"Corn, raw, white, sweet",100,86,1.2,0.2,0,1,0,0,0.055,6.8,0.07,0.07,0.3,19.02,2.7,3.22,1.18
683,"Wheat flour, whole-grain",100,340,2.5,0.4,0,9,0,0,0.407,0,0.71,0.71,1.9,71.97,10.7,0.41,2.5
684,"CRACKER BARREL, coleslaw",100,175,13,2,11,777,43,0,0.125,14.2,0.97,0.97,88.1,13.01,1.6,11.07,13.22
685,"Fish, raw, king, mackerel",100,105,2,0.4,53,727,218,15.6,0.442,1.6,0,0,0,0,0,0,2
686,"Cookies, chocolate wafers",100,433,14,4.2,2,10,3,0.09,0.051,0,0.72,0.72,2.4,72.7,3.4,37.43,14.2
687,"Mushrooms, raw, portabella",100,22,0.4,0.1,0,0,0,0.05,0.148,0,0.02,0.02,0,3.87,1.3,2.5,0.35
688,"Fish, raw, striped, mullet",100,117,3.8,1.1,49,123,37,0.22,0.425,1.2,1,1,0.1,0,0,0,3.79
689,"Egg, poached, cooked, whole",100,143,9.5,3.1,370,538,160,0.71,0.144,0,1.04,1.04,0.3,0.71,0,0.37,9.47
690,"Noodles, chow mein, chinese",100,475,15,2.2,0,0,0,0,0.11,0,2.3,2.3,1.4,72.8,3.7,5.71,15.43
691,"Oil, cold pressed, flaxseed",100,884,100,9,0,0,0,0,0,0,0.47,0.47,9.3,0,0,0,99.98
692,"Triticale flour, whole-grain",100,338,1.8,0.3,0,0,0,0,0.403,0,0.9,0.9,0,73.14,14.6,0,1.81
693,"Cheese, queso anejo, mexican",100,373,30,19,105,220,64,1.38,0.047,0,0.26,0.26,2.5,4.63,0,4.63,29.98
694,"Smelt, dried (Alaska Native)",100,386,18,3.6,249,463,139,19.1,0.176,0,4.51,4.51,0,0,0,0,17.9
695,"Lamb, broiled, cooked, ground",100,283,20,8.1,97,0,0,2.61,0.14,0,0.14,0.14,5.3,0,0,0,19.65
696,"Tofu, dried-frozen (koyadofu)",100,477,30,4.4,0,518,26,0,0.286,0.7,0,0,0,10.03,7.2,0,30.34
697,Poultry salad sandwich spread,100,200,14,3.5,30,140,42,0.38,0.11,1,2.2,2.2,0,7.41,0,0,13.52
698,"Salami, beef and pork, cooked",100,336,26,9.3,89,0,0,1.52,0.459,0,0.22,0.22,3.2,2.4,0,0.96,25.9
699,"Rice flour, unenriched, white",100,366,1.4,0.4,0,0,0,0,0.436,0,0.11,0.11,0,80.13,2.4,0.12,1.42
700,"Yogurt, nonfat, fruit variety",100,95,0.2,0.1,2,12,2,0.47,0.04,0.7,0.06,0.06,1.1,19,0,19,0.2
701,"Babyfood, vegetable, crackers",100,477,20,2,0,3571,179,0,0.12,50.5,8.05,8.05,7.1,66.85,4,13,19.6
702,"Babyfood, fruit, baby, cookie",100,435,13,2.7,4,2348,117,0.22,0.21,1.5,1.48,1.48,3.2,73.7,3.4,24.2,12.6
703,"Chicken, raw, giblets, capons",100,130,5.2,1.6,292,14566,4374,12.95,0.47,18.4,0,0,0,1.42,0,0,5.18
704,"Fish, raw, mixed species, roe",100,143,6.4,1.5,374,299,90,10,0.16,16,7,7,0.2,1.5,0,0,6.42
705,"Fish, smoked, chinook, salmon",100,117,4.3,0.9,23,87,26,3.26,0.278,0,1.35,1.35,0.1,0,0,0,4.32
706,HOUSE FOODS Prem m Firm Tofu,100,85,4.2,0.7,0,0,0,0,0,1.1,0,0,0,0.97,0.9,0.4,4.19
707,"Crackers, whole grain, cheese",100,412,16,3.2,16,110,12,0.06,0.203,0,1.08,1.08,3.9,57.29,6.4,0,16.03
708,"Seeds, high-fat, sesame flour",100,526,37,5.2,0,69,3,0,0.152,0,0,0,0,26.62,0,0,37.1
709,"Peppers, canned, green, chili",100,21,0.3,,0,126,6,0,0.12,34.2,0,0,0,4.6,1.7,0,0.27
710,"Egg, raw, fresh, whole, quail",100,158,11,3.6,844,543,156,1.58,0.15,0,1.08,1.08,0.3,0.41,0,0.4,11.09
711,"Pumpkin, without salt, canned",100,34,0.3,0.1,0,15563,778,0,0.056,4.2,1.06,1.06,16,8.09,2.9,3.3,0.28
712,"Dove, cooked (includes squab)",100,213,13,3.7,116,95,28,0.41,0.57,2.9,0.06,0.06,4,0,0,0,13
713,"Beverages, orange, carbonated",100,48,0,,0,0,0,0,0,0,0,0,0,12.3,0,0,0
714,"Kefir, LIFEWAY, plain, lowfat",100,41,0.9,0.7,5,569,171,0.29,0.058,0.2,0.02,0.02,0.1,4.48,0,4.61,0.93
715,"Candies, ALMOND JOY Candy Bar",100,479,27,18,4,42,0,0,0,0.7,0,0,0,59.51,5,48.34,26.93
716,"Cheese substitute, mozzarella",100,248,12,3.7,0,1457,437,0.81,0.051,0.1,0.11,0.11,1,23.67,0,23.67,12.22
717,"Crustaceans, raw, queen, crab",100,90,1.2,0.1,55,150,45,9,0.15,7,0,0,0,0,0,0,1.18
718,"Wheat, cooked, KAMUT khorasan",100,132,0.8,0.1,0,4,0,0,0.07,0,0.24,0.24,0,27.6,4.3,3.07,0.83
719,"Sauce, ready-to-serve, hoisin",100,220,3.4,0.6,3,6,0,0,0.062,0.4,0.28,0.28,0.5,44.08,2.8,27.26,3.39
720,"Sauce, ready-to-serve, oyster",100,51,0.3,,0,0,0,0.41,0.016,0.1,0,0,0,10.92,0.3,0,0.25
721,"Noodles, dry, somen, japanese",100,356,0.8,0.1,0,0,0,0,0.05,0,0,0,0,74.1,4.3,0,0.81
722,"Crackers, reduced fat, cheese",100,418,12,3.3,0,56,9,0.03,0.044,0,1.88,1.88,3.8,68.19,3.3,0,11.67
723,"Cookies, reduced fat, oatmeal",100,365,10,4.1,20,402,92,0.08,0.044,0,1.1,1.1,11.3,64.62,16.1,32.14,10.04
724,"Cranberries, sweetened, dried",100,308,1.1,0.1,0,46,2,0,0.038,0.2,2.1,2.1,7.6,82.8,5.3,72.56,1.09
725,"Cheese, queso cotija, mexican",100,366,30,18,100,865,229,2.26,0.049,0,0.25,0.25,1.9,3.97,0,0,30
726,"Rolls, hard (includes kaiser)",100,293,4.3,0.6,0,0,0,0,0.035,0,0.42,0.42,0.6,52.7,2.3,1.77,4.3
727,"Ostrich, cooked, inside strip",100,164,4.3,1.7,97,0,0,6.44,0.562,0,0.24,0.24,0,0,0,0,4.26
728,"SILK Light Chocolate, soymilk",100,49,0.6,,0,206,0,1.23,0,0,0,0,0,9.05,0.8,7.82,0.62
729,"Candies, sugar-coated almonds",100,474,18,1.9,0,3,0,0,0.06,0,12.36,12.36,0,68.26,2.5,62.5,17.93
730,"KELLOGG'S, Corn Flakes Crumbs",100,367,0.4,0.1,0,212,64,0,0.6,0,0,0,0,84.4,1.2,9.3,0.4
731,"Cheese, queso seco, dry white",100,325,24,14,78,800,226,1.7,0.091,0,0.49,0.49,1.5,2.04,0,0.55,24.35
732,"Fish, raw, wild, coho, salmon",100,146,5.9,1.3,45,135,40,4.17,0.549,1,0.73,0.73,0.1,0,0,0,5.93
733,"Beets, drained solids, canned",100,31,0.1,,0,24,1,0,0.057,4.1,0.03,0.03,0.2,7.21,1.8,5.51,0.14
734,"Beef, reduced sod m, bologna",100,310,28,12,56,0,0,1.41,0.18,0,0.19,0.19,0.3,2,0,0,28.4
735,"Fast foods, hot fudge, sundae",100,180,5.5,3.2,13,140,37,0.41,0.08,1.5,0.42,0.42,0,30.17,0,0,5.46
736,"KEEBLER, Iced Oatmeal Cookies",100,467,18,5.8,0,0,0,0,0.01,0,0,0,0,69.5,4.1,35.6,18.3
737,"Ice creams, fat free, vanilla",100,138,0,,0,698,200,0.45,0.047,0,0,0,0,30.06,1,6.3,0
738,"Turkey Pot Pie, frozen entree",100,176,8.8,2.9,16,1767,0,0,0,0,0,0,0,17.7,1.1,0,8.8
739,"Peanut butter, reduced sod m",100,590,50,7.7,0,0,0,0,0.45,0,9.05,9.05,0.6,21.83,6.6,9.29,49.9
740,"Oil, salad or cooking, peanut",100,884,100,17,0,0,0,0,0,0,15.69,15.69,0.7,0,0,0,100
741,"Turkey, raw, meat only, whole",100,112,1.9,0.5,67,30,9,1.24,0.652,0,0.09,0.09,0,0.14,0,0.07,1.93
742,"Syrups, fudge-type, chocolate",100,350,8.9,4,1,2,1,0.06,0.02,0.2,2.63,2.63,2.5,62.9,2.8,34.82,8.9
743,"Corn, steamed (Navajo), white",100,386,5.2,0.8,0,0,0,0,0.289,0,0,0,0.8,75.2,16.6,6.47,5.18
744,"Fish, raw, mixed species, eel",100,184,12,2.4,126,3477,1043,3,0.067,1.8,4,4,0,0,0,0,11.66
745,"Spices, dried, coriander leaf",100,279,4.8,0.1,0,5850,293,0,0.61,566.7,1.03,1.03,1359.5,52.1,10.4,7.27,4.78
746,"Popovers, unenriched, dry mix",100,371,4.3,1,0,0,0,0.08,0.042,0.1,0,0,0,71,0,0,4.3
747,"Lemon grass (citronella), raw",100,99,0.5,0.1,0,6,0,0,0.08,2.6,0,0,0,25.31,0,0,0.49
748,"Candies, with almonds, nougat",100,398,1.7,1.7,0,1,0,0.01,0.02,0.3,2.77,2.77,0,92.39,3.3,44.97,1.67
749,"Fish, raw, Atlantic, mackerel",100,205,14,3.3,70,167,50,8.71,0.399,0.4,1.52,1.52,5,0,0,0,13.89
750,"Candies, REESE'S PIECES Candy",100,497,25,16,0,0,0,0.11,0.11,0,0.99,0.99,5.9,59.86,3,53.25,24.77
751,"Sauce, ready-to-serve, cheese",100,174,13,6,29,316,80,0.14,0.017,0.4,0,0,0,6.83,0.5,0.42,13.29
752,"Noodles, unenriched, dry, egg",100,384,4.4,1.2,84,62,17,0.29,0.216,0,0.37,0.37,0.5,71.27,3.3,1.88,4.44
753,"Egg, scrambled, cooked, whole",100,149,11,3.3,277,578,161,0.76,0.134,0,1.15,1.15,4,1.61,0,1.39,10.98
754,"Egg, raw, fresh, whole, goose",100,185,13,3.6,852,650,187,5.1,0.236,0,1.29,1.29,0.4,1.35,0,0.94,13.27
755,"Jujube, dried, fresh, Chinese",100,281,0.5,,0,0,0,0,0,217.6,0,0,0,72.52,6,0,0.5
756,"GIRL SCOUTS, Trefoils Cookies",100,498,23,7.3,1,0,0,0,0,0,0,0,0,68,1.6,20.7,22.9
757,"Quail, raw, meat only, breast",100,123,3,0.9,58,37,11,0.47,0.53,5.1,0,0,0,0,0,0,2.99
758,"Blueberries, sweetened, dried",100,317,2.5,0.2,0,141,7,0,0.152,23.8,2.35,2.35,59.4,80,7.5,67.5,2.5
759,"McDONALD'S, Hot Mustard Sauce",100,190,7.3,1,0,0,0,0.23,0.06,0,0.86,0.86,0,29.08,5,21.76,7.31
760,"Candies, PAYDAY Bar, HERSHEYS",100,490,25,4.8,0,1,0,0.02,0.235,0,2.47,2.47,0,52.88,3.8,40.32,25
761,"Sauce, ready-to-serve, tartar",100,211,17,3.3,7,165,11,0.02,0.044,2.3,1.68,1.68,50.4,13.3,0.5,4.25,16.7
762,Pulled pork in barbecue sauce,100,168,4.4,1.4,35,264,13,0.41,0.248,0.2,0.89,0.89,1.4,18.74,1.2,15.2,4.42
763,"Sauce, thick, white, homemade",100,186,14,3.4,6,469,130,0.26,0.038,0.7,0.38,0.38,1.2,11.61,0.3,3.98,13.83
764,"Veal, broiled, cooked, ground",100,172,7.6,3,103,0,0,1.27,0.39,0,0.15,0.15,1.2,0,0,0,7.56
765,"Bison, raw, grass-fed, ground",100,146,7.2,2.9,55,0,0,1.94,0.383,0,0.19,0.19,1.2,0.05,0,0,7.21
766,"Bread, bollilo, Mexican, roll",100,318,5.8,1.4,1,5,1,0.13,0.105,0.2,0,0,10.9,55.77,2.2,3.55,5.8
767,"McDONALD'S, Chicken McNUGGETS",100,302,20,3.3,44,0,0,0.33,0.398,1.2,0,0,0,15.09,0,0.08,19.81
768,"Currants, raw, european black",100,63,0.4,,0,230,12,0,0.066,181,1,1,0,15.38,0,0,0.41
769,"Pineapple, all varieties, raw",100,50,0.1,,0,58,3,0,0.112,47.8,0.02,0.02,0.7,13.12,1.4,9.85,0.12
770,"Fish, raw, Atlantic, wolffish",100,96,2.4,0.4,46,375,113,2.03,0.4,0,0,0,0,0,0,0,2.39
771,"Cereals ready-to-eat, FAMILIA",100,388,6.3,0.7,0,6,1,0.29,0.1,0.6,1.16,1.16,3.8,73.8,8.5,23.2,6.3
772,"Leavening agents, baking soda",100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
773,"Asparagus, unprepared, frozen",100,24,0.2,0.1,0,948,47,0,0.111,31.8,0,0,0,4.1,1.9,0,0.23
774,"English muffins, whole-wheat",100,203,2.1,0.3,0,5,0,0,0.163,0,0.41,0.41,1,40.4,6.7,8.09,2.1
775,"Ice creams, light, chocolate",100,187,7.2,4.4,28,425,71,0.14,0.023,1.2,0.2,0.2,0.6,25.7,0.8,24.71,7.19
776,"Crackers, wheat, melba toast",100,374,2.3,0.3,0,0,0,0,0.103,0,0,0,0,76.4,7.4,0,2.3
777,"Crackers, plain, melba toast",100,390,3.2,0.4,0,0,0,0,0.098,0,0.43,0.43,0.9,76.6,6.3,0.94,3.2
778,"Crackers, plain, wafers, rye",100,334,0.9,0.1,0,5,0,0,0.271,0.1,0.8,0.8,5.7,80.4,22.9,1.01,0.9
779,"Apples, with skin, gala, raw",100,57,0.1,,0,28,1,0,0.049,0,0.18,0.18,1.3,13.68,2.3,10.37,0.12
780,"Fish, dry heat, cooked, ling",100,111,0.8,,51,115,35,0.65,0.351,0,0,0,0,0,0,0,0.82
781,"Fish, dry heat, cooked, cusk",100,112,0.9,,53,69,21,1.2,0.447,0,0,0,0,0,0,0,0.88
782,"Peanut spread, reduced sugar",100,650,55,10,0,0,0,0,0.471,0,8.06,8.06,0.6,14.23,7.8,6.35,54.89
783,"Beerwurst, pork, beer salami",100,238,19,6.3,59,0,0,0.87,0.35,0,0,0,0,2.06,0,0,18.8
784,"Babyfood, junior, beef, meat",100,81,2.5,1.2,51,0,0,1.26,0.039,2.1,0.37,0.37,0.6,2.43,0,0,2.52
785,"Peppers, sauteed, red, sweet",100,133,13,1.6,0,2760,138,0,0.364,162.8,3.09,3.09,16.4,6.57,1.8,4.28,12.75
786,"Tree fern, with salt, cooked",100,40,0.1,,0,200,10,0,0.179,30,0,0,0,10.78,3.7,0,0.07
787,"Pheasant, meat and skin, raw",100,181,9.3,2.7,71,177,53,0.77,0.66,5.3,0,0,0,0,0,0,9.29
788,"Oil, salad or cooking, olive",100,884,100,14,0,0,0,0,0,0,14.35,14.35,60.2,0,0,0,100
789,"Squash, raw, hubbard, winter",100,40,0.5,0.1,0,1367,68,0,0.154,11,0.16,0.16,1.3,8.7,3.9,3.95,0.5
790,"Rambutan, syrup pack, canned",100,82,0.2,,0,3,0,0,0.02,4.9,0,0,0,20.87,0.9,0,0.21
791,"Fish, raw, Atlantic, herring",100,158,9,2,60,93,28,13.67,0.302,0.7,1.07,1.07,0.1,0,0,0,9.04
792,"Bologna, beef, pork, chicken",100,272,23,7,83,75,13,0.59,0.227,15.8,0.25,0.25,0.1,5.61,0,0,22.73
793,"DENNY'S, golden fried shrimp",100,319,20,3.5,83,6,2,0.4,0.085,0,2.61,2.61,35.3,20.93,1.5,0.75,20.01
794,"McDONALD'S, Hot Fudge Sundae",100,186,5.9,3.6,13,270,81,0.55,0.052,0,0.19,0.19,0,30.05,0.4,26.89,5.91
795,"Fish, raw, spanish, mackerel",100,139,6.3,1.8,76,130,39,2.4,0.4,1.6,0.69,0.69,0.1,0,0,0,6.3
796,"PEPPERIDGE FARM, White Bread",100,280,5.1,1.3,1,100,0,0,0,1.1,0,0,0,50.2,1.6,5.1,5.1
797,"Crackers, low sod m, cheese",100,503,25,9.6,13,156,17,0.46,0.553,0,0.3,0.3,11.2,58.2,2.4,0.28,25.3
798,"USDA Commodity, canned, pork",100,196,13,4.2,75,0,0,0.93,0.311,0,0.28,0.28,0,0.59,0,0,12.95
799,Orange Pineapple Juice Blend,100,51,0.1,,0,17,1,0,0.061,40.7,0.07,0.07,0.1,12.2,0.2,10.57,0.08
800,"Beverages, hard cider, AMBER",100,56,0,,0,27,1,0,0.021,2.3,0.09,0.09,1.1,5.92,0,5.92,0
801,"Babyfood, apple-banana juice",100,51,0.1,,0,9,0,0,0.06,27.9,0.02,0.02,0,12.3,0.2,11,0.1
802,"Spices, ground, mustard seed",100,508,36,2,0,31,2,0,0.397,7.1,5.07,5.07,5.4,28.09,12.2,6.79,36.24
803,"ON THE BORDER, refried beans",100,144,5,1.8,6,0,0,0.1,0,0,0.1,0.1,2.1,17.52,8.2,0.84,5
804,"Cornmeal, white, whole-grain",100,362,3.6,0.5,0,3,0,0,0.304,0,0.42,0.42,0.3,76.89,7.3,0.64,3.59
805,"Ground turkey, raw, fat free",100,112,2,0.5,55,25,7,0.51,0.857,0,0.07,0.07,0,0,0,0,1.95
806,"Kanpyo, (dried gourd strips)",100,258,0.6,,0,0,0,0,0.532,0.2,0,0,0,65.03,9.8,0,0.56
807,"Pancakes, reduced fat, plain",100,269,1.9,,24,24,7,0.1,0.039,0,0.25,0.25,1.9,57.32,1,8.57,1.9
808,"Tennis Bread, plain (Apache)",100,258,1.1,0.3,0,0,0,0,0.059,0,0.07,0.07,0.2,53.26,2.6,3.01,1.05
809,"USDA Commodity, canned, beef",100,246,18,8.6,77,0,0,1.66,0.168,0,1.96,1.96,9.6,0,0,0,17.57
810,"Cockles, raw (Alaska Native)",100,79,0.7,,0,0,0,0,0,0,0,0,0,4.7,0,0,0.7
811,"Yogurt, lowfat, plain, Greek",100,73,1.9,1.2,10,309,90,0.52,0.055,0.8,0.04,0.04,0.2,3.94,0,3.56,1.92
812,"Apples, with skin, fuji, raw",100,63,0.2,,0,38,2,0,0.045,0,0.18,0.18,1,15.22,2.1,11.68,0.18
